submission_pk,User,b'F1',b'precision_score',b'recall_score'
310891,jzy,0.892 (1),0.838 (2),0.953 (2),
305993,svassileva,0.866 (2),0.814 (3),0.925 (3),
333255,abelcorreadias,0.840 (3),0.907 (1),0.782 (4),
302627,Charin,0.622 (4),0.451 (4),1.000 (1),
284896,topology,0.323 (5),0.422 (5),0.261 (5),
250398,MJ2301,0.323 (5),0.422 (5),0.261 (5),
