submission_pk,User,b'F1\xf0\x9d\x91\x9d\xf0\x9d\x91\x9f\xf0\x9d\x91\x92\xf0\x9d\x91\x9a\xf0\x9d\x91\x96\xf0\x9d\x91\xa0\xf0\x9d\x91\x92'
149708,FraunhoferSIT,- (-),
151964,leungwai,- (-),
149821,archit_mang01,- (-),
118472,tlenusik,- (-),
118258,VeraDavydova,- (-),
submission_pk,User,b'F1\xf0\x9d\x91\xa0\xf0\x9d\x91\xa1\xf0\x9d\x91\x8e\xf0\x9d\x91\x9b\xf0\x9d\x91\x90\xf0\x9d\x91\x92'
149821,archit_mang01,0.83 (1),
151964,leungwai,0.72 (2),
149708,FraunhoferSIT,0.63 (3),
118258,VeraDavydova,0.57 (4),
118472,tlenusik,0.32 (5),
