submission_pk,User,b'avg',b'ca_ancora',b'cs_pcedt',b'cs_pdt',b'de_parcorfull',b'de_potsdamcc',b'en_gum',b'en_parcorfull',b'es_ancora',b'fr_democrat',b'hu_szegedkoref',b'lt_lcc',b'pl_pcc',b'ru_rucor',b'hu_korkor',b'no_bokmaalnarc',b'no_nynorsknarc',b'tr_itcc'
474054,straka,78.42 (1),82.35 (1),82.01 (1),80.92 (1),82.69 (1),79.07 (1),78.01 (1),80.47 (2),84.17 (1),71.97 (1),71.97 (1),80.17 (1),78.77 (1),79.19 (1),72.54 (1),83.31 (1),83.96 (1),61.53 (1),
473879,ondfa,72.43 (2),75.49 (3),77.37 (2),76.67 (2),80.45 (2),78.17 (2),73.67 (3),67.92 (3),77.62 (3),64.47 (4),68.82 (2),76.41 (3),75.67 (2),70.03 (4),70.55 (2),76.48 (3),77.55 (3),43.90 (2),
476605,tollefej,71.58 (3),77.78 (2),72.56 (3),75.55 (3),70.33 (3),75.52 (4),75.25 (2),60.14 (4),79.91 (2),68.45 (2),67.33 (4),78.71 (2),75.43 (3),72.42 (2),66.77 (3),77.73 (2),79.15 (2),43.81 (3),
477288,tatiana.anikina,68.06 (4),68.34 (6),71.63 (4),68.60 (5),64.26 (4),69.29 (5),69.63 (4),100.00 (1),70.07 (5),62.34 (5),62.60 (5),73.08 (5),65.89 (5),67.50 (5),60.02 (5),72.45 (5),73.51 (5),37.80 (5),
473923,ianpo,67.32 (5),71.28 (4),66.20 (6),71.82 (4),62.62 (5),76.43 (3),68.92 (5),42.68 (8),72.46 (4),65.50 (3),68.21 (3),74.37 (4),74.68 (4),71.37 (3),63.85 (4),74.93 (4),76.11 (4),42.95 (4),
456661,TugbaP,61.35 (6),68.85 (5),67.97 (5),66.05 (6),50.10 (8),63.51 (7),65.42 (7),44.85 (7),69.98 (6),59.77 (6),59.19 (6),72.74 (6),65.61 (6),62.93 (7),53.25 (6),71.02 (6),69.15 (6),32.63 (7),
474019,CRAC23-coref-baseline,58.99 (7),65.60 (7),65.72 (7),65.66 (7),57.25 (7),56.07 (8),66.87 (6),56.56 (5),67.00 (7),57.22 (7),58.96 (7),66.96 (7),64.17 (7),63.04 (6),48.38 (7),58.44 (8),68.78 (7),16.15 (8),
477492,natalia_s,57.22 (8),55.73 (8),63.32 (8),55.76 (8),58.86 (6),66.38 (6),61.55 (8),45.54 (6),57.41 (8),56.53 (8),52.71 (8),62.94 (8),59.79 (8),58.92 (8),46.06 (8),66.16 (7),68.18 (8),36.84 (6),
