submission_pk,User,b'AUC',b'F1'
287790,keminglu,0.63 (1),0.63 (2),
300868,ckre,0.63 (2),0.64 (1),
141784,suzumura_akane,0.61 (3),0.62 (3),
382190,jack_144,0.26 (4),0.37 (4),
