submission_pk,User,b'METEOR',b'Bleu_4',b'CIDEr',b'Precision',b'Recall'
144883,wzt0,37.58 (1),24.66 (1),103.95 (2),65.27 (1),9.93 (5),
144775,davidlu,23.17 (2),13.44 (2),158.89 (1),49.14 (2),13.30 (4),
143764,zhangyunjie,15.07 (3),7.30 (3),85.07 (3),37.13 (3),26.98 (1),
135993,wdmmsyf,12.25 (4),5.72 (4),65.54 (4),32.23 (4),24.82 (3),
144796,daydayup,11.88 (5),5.16 (5),60.63 (5),30.67 (5),26.71 (2),
