submission_pk,User,b'overlapping F1',b'overlapping P',b'overlapping R',b'strict F1',b'strict P',b'strict R'
150307,harshv,0.941 (1),0.941 (2),0.941 (1),0.878 (1),0.878 (2),0.879 (1),
149862,antonio.tamayo,0.928 (2),0.934 (3),0.922 (2),0.868 (3),0.861 (3),0.876 (2),
150206,AKA,0.916 (3),0.972 (1),0.867 (3),0.874 (2),0.920 (1),0.832 (3),
147133,aten,0.793 (4),0.915 (4),0.700 (4),0.476 (4),0.548 (4),0.421 (4),
