submission_pk,User,b'Root-mean-square error'
352216,dlyldxwl,6.3746 (1),
352192,Yanglegeyang,6.8526 (2),
351309,SunshineBBB,6.9438 (3),
352171,Shiny,8.6626 (4),
352213,b136522541,9.6994 (5),
352323,xingjian,10.7378 (6),
