submission_pk,User,b'Prediction score',b'Duration'
274418,bjubert,39.6050 (3),0.00 (1),
274179,DANDEN-SOUFIANE,26.0645 (6),0.00 (1),
274074,gpitek,39.6657 (2),0.00 (1),
272698,ElieG,39.3724 (4),0.00 (1),
272540,SCD_28,35.7557 (5),0.00 (1),
272044,jfevrier,53.7979 (1),0.00 (1),
