submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
285384,NPU_LAST,36.18 (5),0.96 (5),0.12 (10),0.03 (1),
322752,fanzhihao,37.05 (2),0.97 (2),0.09 (5),0.03 (2),
295886,Zhang9678,36.18 (6),0.96 (4),0.12 (9),0.03 (3),
285417,ohLCya,36.45 (3),0.96 (3),0.10 (6),0.03 (4),
311521,mengfanqing,34.12 (11),0.95 (11),0.13 (11),0.04 (5),
324409,CD_luo,35.51 (10),0.96 (8),0.08 (3),0.04 (6),
312399,xiajiyuan2,35.56 (9),0.96 (9),0.12 (8),0.04 (7),
323906,Legless_bird,37.78 (1),0.97 (1),0.09 (4),0.05 (8),
323064,YuqingLiu,35.58 (8),0.96 (10),0.11 (7),0.05 (9),
317628,Science_zhen,30.70 (13),0.95 (13),0.21 (13),0.06 (10),
323712,yhy_gogo,36.13 (7),0.96 (7),0.04 (1),0.06 (11),
324417,blindbox,36.37 (4),0.96 (6),0.08 (2),0.06 (12),
298700,LittleRookie,33.27 (12),0.95 (12),0.17 (12),0.08 (13),
