submission_pk,User,b'cp-CER'
472437,aluminumbox,11.27 (1),
472420,msxf,18.64 (2),
472063,M2MeT_AIzyzx,22.83 (3),
472441,tuocheng,23.51 (4),
472054,zyxlhz,24.82 (5),
471974,sc_bytedance,34.75 (6),
472019,kkspeech,40.14 (7),
470382,M2MeT,41.55 (8),
