submission_pk,User,b'AP @ 0.50:0.95',b'AP @ 0.50',b'AP @ 0.75',b'AP @ 0.50:0.95 (small)',b'AP @ 0.50:0.95 (medium)',b'AP @ 0.50:0.95 (large)'
471427,johnny2304,0.28 (2),0.62 (1),0.21 (5),0.09 (5),0.25 (3),0.22 (2),
483798,danielwang2000,0.29 (1),0.61 (2),0.22 (1),0.09 (2),0.25 (1),0.22 (1),
474925,tdc2000,0.28 (3),0.60 (3),0.21 (4),0.10 (1),0.25 (2),0.22 (5),
490820,AIPRIME,0.27 (5),0.60 (4),0.21 (6),0.07 (13),0.24 (4),0.21 (6),
476424,Couhp19,0.26 (11),0.60 (5),0.18 (12),0.09 (4),0.21 (14),0.20 (9),
491007,Dan_choi_2001,0.26 (7),0.59 (6),0.18 (14),0.08 (9),0.22 (7),0.20 (14),
490385,chaun_an0626,0.26 (12),0.59 (7),0.18 (15),0.08 (7),0.22 (8),0.20 (8),
453288,attilalengyel,0.26 (8),0.59 (8),0.18 (11),0.08 (8),0.22 (9),0.21 (7),
475043,uulnat,0.27 (4),0.59 (9),0.22 (2),0.09 (3),0.24 (5),0.22 (3),
479370,TunggTungg,0.26 (10),0.59 (10),0.18 (10),0.08 (10),0.22 (11),0.20 (13),
482661,IPIU-MC-Teens,0.26 (9),0.59 (11),0.18 (9),0.08 (11),0.22 (10),0.20 (11),
471199,uulnat3,0.27 (6),0.58 (12),0.21 (3),0.08 (6),0.24 (6),0.22 (4),
484575,ming0531,0.25 (13),0.58 (13),0.18 (16),0.08 (12),0.21 (13),0.20 (10),
493590,testaccount2001,0.25 (14),0.58 (14),0.18 (13),0.07 (14),0.21 (12),0.20 (12),
479034,HoangTamSE,0.24 (15),0.51 (15),0.19 (8),0.05 (16),0.21 (15),0.19 (16),
482663,preacherwhite,0.23 (16),0.45 (16),0.20 (7),0.05 (17),0.20 (16),0.19 (15),
468073,BachNgo,0.21 (17),0.44 (17),0.16 (17),0.05 (15),0.17 (18),0.17 (17),
475646,JUN-HWA,0.19 (18),0.38 (18),0.16 (18),0.04 (18),0.17 (17),0.16 (18),
491262,re6124043,0.10 (19),0.21 (19),0.08 (19),0.03 (19),0.08 (19),0.08 (19),
467886,hungam,0.00 (20),0.00 (20),0.00 (20),0.00 (20),0.00 (20),0.00 (20),
