submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
372149,CMM,23.9090 (1),25.3280 (1),0.7396 (2),0.7479 (1),
372636,TeamNoSleep,23.8911 (2),25.3097 (2),0.7358 (4),0.7440 (2),
371411,callmemaybe,23.8876 (3),25.3062 (3),0.7358 (4),0.7440 (2),
372151,xiaozhazha,23.8830 (4),25.2992 (4),0.7400 (1),0.7479 (1),
372131,webbzhou,23.8220 (5),25.2402 (5),0.7359 (3),0.7437 (3),
372005,caopulan,23.8041 (6),25.2195 (6),0.7356 (5),0.7431 (4),
372133,ferry,23.7963 (7),25.2109 (7),0.7351 (6),0.7425 (5),
369873,HDT_lab,23.7719 (8),25.1913 (8),0.7319 (10),0.7397 (10),
370183,HarryS,23.7560 (9),25.1743 (9),0.7299 (16),0.7383 (16),
366085,BrianT,23.7501 (10),25.1683 (10),0.7297 (17),0.7381 (17),
372178,AlexZou,23.7424 (11),25.1612 (11),0.7290 (19),0.7369 (19),
368359,hezhenyu,23.7268 (12),25.1466 (12),0.7326 (8),0.7410 (8),
366228,mahaoyu,23.7258 (13),25.1373 (15),0.7332 (7),0.7412 (7),
371464,HuanZheng,23.7252 (14),25.1445 (13),0.7309 (11),0.7391 (14),
372248,BigTree,23.7210 (15),25.1427 (14),0.7323 (9),0.7414 (6),
366688,ajl0613,23.7181 (16),25.1370 (16),0.7307 (12),0.7390 (15),
369268,super111,23.7132 (17),25.1327 (17),0.7291 (18),0.7374 (18),
372639,KerrChen,23.7121 (18),25.1293 (18),0.7306 (13),0.7392 (13),
372597,Allen_CT,23.7117 (19),25.1289 (19),0.7307 (12),0.7393 (12),
372341,sherrylee,23.7088 (20),25.1276 (21),0.7306 (13),0.7394 (11),
372002,hhhhhts,23.7056 (21),25.1280 (20),0.7285 (20),0.7368 (20),
372380,yunzhelimac,23.7048 (22),25.1225 (23),0.7300 (15),0.7392 (13),
369721,yeehengwang,23.7044 (23),25.1269 (22),0.7284 (21),0.7367 (21),
367604,KerrC,23.6992 (24),25.1160 (24),0.7302 (14),0.7391 (14),
370983,LongClaw,23.6800 (25),25.1019 (25),0.7268 (22),0.7354 (23),
372631,ArcticFall,23.6781 (26),25.0988 (26),0.7307 (12),0.7400 (9),
369586,JingxiangChen1,23.6556 (27),25.0764 (27),0.7261 (23),0.7345 (24),
367486,DiscreteAlgo,23.6432 (28),25.0620 (28),0.7259 (24),0.7361 (22),
372089,Jin_xy,23.6211 (29),25.0412 (29),0.7245 (25),0.7328 (25),
372077,colacomo,23.6200 (30),25.0399 (30),0.7243 (26),0.7327 (26),
371968,hj_whu,23.5974 (31),25.0175 (31),0.7238 (27),0.7324 (27),
371751,whu_qsh,23.5974 (31),25.0175 (31),0.7238 (27),0.7324 (27),
369224,LvJiangtao,23.5880 (32),25.0051 (32),0.7236 (28),0.7315 (28),
369398,JintaoZeng,23.5189 (33),24.9392 (33),0.7211 (29),0.7298 (29),
370148,czt,23.4826 (34),24.9051 (34),0.7151 (32),0.7247 (31),
366359,garasgaras,23.4644 (35),24.8873 (35),0.7179 (30),0.7267 (30),
366776,Wedream,23.4246 (36),24.8358 (36),0.7155 (31),0.7236 (32),
366612,Findpurewater,23.3225 (37),24.7418 (37),0.7069 (33),0.7157 (34),
372102,sumhhhh,23.2628 (38),24.7096 (38),0.7017 (35),0.7166 (33),
369910,Charm,23.1483 (39),24.5657 (39),0.7025 (34),0.7115 (35),
367590,candle,22.8335 (40),24.2476 (41),0.6926 (36),0.7041 (36),
371121,wwww,22.4332 (41),24.2698 (40),0.6337 (37),0.6819 (37),
372627,ZK_,22.2543 (42),24.0383 (42),0.5363 (44),0.6211 (43),
372414,INF,22.2142 (43),23.9898 (43),0.5361 (45),0.6199 (44),
372260,ZHZhao,22.0967 (44),23.7138 (44),0.6097 (38),0.6371 (38),
370623,zhengmingjun,21.9737 (45),23.5985 (46),0.6044 (39),0.6322 (39),
372359,yyyy,21.8754 (46),23.6741 (45),0.5014 (46),0.5898 (46),
369236,kkkls,21.8038 (47),23.4049 (47),0.5996 (40),0.6282 (40),
365162,zhongbao97,21.7811 (48),23.3843 (48),0.5982 (42),0.6264 (42),
370535,csbhr,21.7808 (49),23.3832 (49),0.5985 (41),0.6271 (41),
372580,heiheihei,20.7340 (50),22.5592 (50),0.4917 (47),0.5472 (47),
372299,caocao,20.7094 (51),22.5218 (51),0.4908 (48),0.5454 (48),
371273,mehta,19.6438 (52),20.8441 (52),0.5973 (43),0.6072 (45),
369384,Aayush_Gupta,10.1399 (53),13.2658 (53),0.1698 (49),0.3801 (49),
371290,jyyychen,8.3848 (54),9.8810 (54),0.0485 (50),0.2117 (50),
369540,TZ,0.0000 (55),0.0000 (55),0.0000 (51),0.0000 (51),
