submission_pk,User,b'Kappa',b'F1',b'Specificity',b'Average',b'CPU Time'
422845,guojunkun,0.3819 (2),0.6337 (6),0.8472 (2),0.6210 (1),0.5156 (10),
491126,SC_Liu,0.3889 (1),0.6741 (1),0.7569 (4),0.6066 (2),2.2533 (13),
487552,karanpreet_singh,0.3819 (2),0.6667 (2),0.7639 (3),0.6042 (3),0.1008 (2),
388315,hrdc,0.3819 (2),0.6667 (2),0.7639 (3),0.6042 (3),0.1458 (7),
468513,Schroeder,0.3264 (3),0.6367 (5),0.7361 (6),0.5664 (4),0.1182 (3),
437232,ngthien,0.2847 (4),0.6460 (4),0.6319 (8),0.5209 (5),0.0787 (1),
430611,harry6liu,0.2778 (5),0.6579 (3),0.5833 (10),0.5063 (6),0.8775 (11),
447160,Hc_Soap,0.2153 (7),0.5462 (8),0.7431 (5),0.5015 (7),0.1751 (8),
463982,jusiro,0.2500 (6),0.6250 (7),0.6250 (9),0.5000 (8),0.1447 (6),
466774,kojiro000,0.1389 (8),0.3261 (10),0.9306 (1),0.4652 (9),0.1264 (4),
459135,urielnguefack,0.1042 (9),0.4647 (9),0.7153 (7),0.4281 (10),0.3450 (9),
460594,leimanwai,0.0000 (10),0.6667 (2),0.0000 (11),0.2222 (11),1.0215 (12),
442229,pakapro,0.0000 (10),0.6667 (2),0.0000 (11),0.2222 (11),0.1405 (5),
