submission_pk,User,b'HOTA',b'DetA',b'AssA',b'LocA'
61510,u176441,92.3592 (1),92.3592 (1),92.3592 (1),92.2180 (1),
65860,PauOriol,86.6834 (2),86.6834 (2),86.6834 (2),88.9408 (2),
66639,SofiaCardenas,84.0697 (3),84.0697 (3),84.0697 (3),87.7185 (3),
64060,rogerpurgimon01,81.8290 (4),81.8290 (4),81.8290 (4),87.4463 (4),
66581,MarcRodriguez,81.4290 (5),81.4290 (5),81.4290 (5),87.2614 (6),
66500,CristianFedezUPF,81.4290 (5),81.4290 (5),81.4290 (5),87.2614 (6),
63842,u161633,81.4290 (5),81.4290 (5),81.4290 (5),87.2614 (6),
62732,AlbertGubau,81.4290 (5),81.4290 (5),81.4290 (5),87.2614 (6),
58429,pol_gustavo,81.4290 (5),81.4290 (5),81.4290 (5),87.2614 (6),
66505,RamanS11,81.4248 (6),81.4248 (6),81.4248 (6),87.2673 (5),
60739,u150255-u149932-u161575,81.4248 (6),81.4248 (6),81.4248 (6),87.2673 (5),
66438,PauMontero,81.1637 (7),81.1637 (7),81.1637 (7),87.1805 (7),
65451,u162374,81.1637 (7),81.1637 (7),81.1637 (7),87.1805 (7),
64010,video_processing_2022,81.1637 (7),81.1637 (7),81.1637 (7),87.1234 (8),
60646,NilMartiValverde,81.1637 (7),81.1637 (7),81.1637 (7),87.1234 (8),
65542,u172757,81.0153 (8),81.0153 (8),81.0153 (8),87.0236 (9),
64997,u150012,80.9257 (9),80.9257 (9),80.9257 (9),85.5243 (10),
64584,JaumeJorda,80.9257 (9),80.9257 (9),80.9257 (9),85.5243 (10),
63778,blancacervera,80.9257 (9),80.9257 (9),80.9257 (9),85.5243 (10),
63178,u172743,80.9257 (9),80.9257 (9),80.9257 (9),85.5243 (10),
65822,U161625,80.5437 (10),80.5437 (10),80.5437 (10),85.3646 (11),
60743,mariagomez,80.5437 (10),80.5437 (10),80.5437 (10),85.3646 (11),
66464,RogerMax,79.6587 (11),79.6587 (11),79.6587 (11),85.2666 (14),
65683,paulagarzolio,79.5889 (12),79.5889 (12),79.5889 (12),85.2862 (12),
64038,OscarPalomo,79.5889 (12),79.5889 (12),79.5889 (12),85.2681 (13),
