submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
304185,tianjian10,0.1645 (1),
293085,devpranjal,0.1574 (2),
302619,iamgroot42,0.1569 (3),
303436,kasra,0.1468 (4),
280380,cheeky-monkey,0.1419 (5),
262997,Flesh,0.1405 (6),
293519,rocco_m,0.1365 (7),
269436,npc,0.1262 (8),
254467,kaiyao,0.1166 (9),
278403,mrsarthakgupta,0.1162 (10),
302796,rohitYadav,0.1158 (11),
292740,rooney,0.1157 (12),
283930,TeamUSYD,0.1073 (13),
292795,voncarlos,0.1048 (14),
304165,micochallenge,0.1034 (15),
302516,NavyaGovind,0.1034 (15),
254981,d_quest,0.1034 (15),
252839,cloned,0.1034 (15),
235877,yyc,0.1034 (15),
243082,wwwwhy,0.1032 (16),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
303436,kasra,0.1716 (5),0.0284 (4),0.0056 (1),0.5955 (5),0.1252 (5),0.5626 (5),
304185,tianjian10,0.2022 (1),0.0398 (1),0.0052 (2),0.6233 (1),0.1670 (1),0.5835 (1),
293519,rocco_m,0.1608 (7),0.0170 (7),0.0028 (3),0.5715 (7),0.1022 (7),0.5511 (7),
302796,rohitYadav,0.1254 (9),0.0118 (9),0.0020 (4),0.5524 (9),0.0816 (9),0.5408 (9),
302619,iamgroot42,0.1850 (3),0.0254 (5),0.0020 (4),0.6003 (4),0.1312 (4),0.5656 (4),
278403,mrsarthakgupta,0.1138 (13),0.0136 (8),0.0016 (5),0.5322 (18),0.0546 (14),0.5273 (14),
292740,rooney,0.1158 (11),0.0094 (12),0.0014 (6),0.5467 (11),0.0796 (12),0.5398 (12),
293085,devpranjal,0.1922 (2),0.0306 (3),0.0012 (7),0.6139 (2),0.1560 (2),0.5780 (2),
283930,TeamUSYD,0.1156 (12),0.0114 (10),0.0012 (7),0.5498 (10),0.0796 (12),0.5398 (12),
254467,kaiyao,0.1186 (10),0.0136 (8),0.0010 (8),0.5464 (12),0.0784 (13),0.5392 (13),
304165,micochallenge,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (15),0.0812 (10),0.5406 (10),
302516,NavyaGovind,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (16),0.0812 (10),0.5406 (10),
292795,voncarlos,0.1088 (14),0.0000 (13),0.0000 (9),0.5146 (19),0.0268 (15),0.5134 (15),
280380,cheeky-monkey,0.1606 (8),0.0170 (7),0.0000 (9),0.5835 (6),0.1234 (6),0.5617 (6),
269436,npc,0.1762 (4),0.0336 (2),0.0000 (9),0.6065 (3),0.1440 (3),0.5720 (3),
262997,Flesh,0.1662 (6),0.0224 (6),0.0000 (9),0.5710 (8),0.0914 (8),0.5457 (8),
254981,d_quest,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (13),0.0812 (10),0.5406 (10),
252839,cloned,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (14),0.0812 (10),0.5406 (10),
243082,wwwwhy,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (17),0.0810 (11),0.5405 (11),
235877,yyc,0.1010 (15),0.0108 (11),0.0000 (9),0.5363 (15),0.0812 (10),0.5406 (10),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
302619,iamgroot42,0.1566 (1),0.0174 (3),0.0032 (1),0.5603 (2),0.0860 (4),0.5430 (4),
293085,devpranjal,0.1452 (3),0.0206 (1),0.0028 (2),0.5574 (4),0.0862 (3),0.5431 (3),
304185,tianjian10,0.1536 (2),0.0192 (2),0.0018 (3),0.5597 (3),0.0864 (2),0.5432 (2),
303436,kasra,0.1428 (5),0.0116 (8),0.0018 (3),0.5474 (5),0.0722 (6),0.5361 (6),
292740,rooney,0.1096 (10),0.0136 (5),0.0016 (4),0.5276 (14),0.0518 (11),0.5259 (11),
293519,rocco_m,0.1274 (7),0.0120 (7),0.0010 (5),0.5449 (6),0.0742 (5),0.5371 (5),
283930,TeamUSYD,0.0974 (15),0.0110 (9),0.0010 (5),0.5121 (18),0.0456 (12),0.5228 (12),
278403,mrsarthakgupta,0.1132 (8),0.0116 (8),0.0008 (6),0.5244 (16),0.0368 (13),0.5184 (13),
254467,kaiyao,0.1114 (9),0.0094 (12),0.0008 (6),0.5329 (13),0.0592 (8),0.5296 (8),
302796,rohitYadav,0.1074 (12),0.0096 (11),0.0002 (7),0.5245 (15),0.0536 (10),0.5268 (10),
304165,micochallenge,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (9),0.0550 (9),0.5275 (9),
302516,NavyaGovind,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (8),0.0550 (9),0.5275 (9),
292795,voncarlos,0.1050 (13),0.0000 (13),0.0000 (8),0.5126 (17),0.0264 (15),0.5132 (15),
280380,cheeky-monkey,0.1434 (4),0.0140 (4),0.0000 (8),0.5697 (1),0.1150 (1),0.5575 (1),
269436,npc,0.1038 (14),0.0102 (10),0.0000 (8),0.5119 (19),0.0336 (14),0.5168 (14),
262997,Flesh,0.1310 (6),0.0126 (6),0.0000 (8),0.5404 (7),0.0674 (7),0.5337 (7),
254981,d_quest,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (11),0.0550 (9),0.5275 (9),
252839,cloned,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (10),0.0550 (9),0.5275 (9),
243082,wwwwhy,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (12),0.0550 (9),0.5275 (9),
235877,yyc,0.1078 (11),0.0000 (13),0.0000 (8),0.5332 (9),0.0550 (9),0.5275 (9),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
293519,rocco_m,0.1212 (8),0.0144 (5),0.0032 (1),0.5344 (14),0.0580 (10),0.5290 (10),
303436,kasra,0.1260 (4),0.0170 (1),0.0014 (2),0.5429 (12),0.0784 (7),0.5392 (7),
302796,rohitYadav,0.1146 (10),0.0142 (6),0.0010 (3),0.5472 (5),0.0808 (5),0.5404 (5),
278403,mrsarthakgupta,0.1216 (7),0.0094 (12),0.0010 (3),0.5340 (15),0.0476 (12),0.5238 (12),
304185,tianjian10,0.1378 (1),0.0156 (3),0.0008 (4),0.5573 (3),0.0932 (3),0.5466 (3),
283930,TeamUSYD,0.1088 (11),0.0110 (10),0.0008 (4),0.5106 (16),0.0414 (13),0.5207 (13),
