submission_pk,User,b'Average',b'HS-Brexit dataset',b'ArMIS dataset',b'ConvAbuse dataset',b'MD-Agreement dataset'
308962,Colain,0.35 (2),0.27 (5),0.47 (1),0.19 (4),0.48 (2),
308737,Duxy,0.34 (1),0.24 (1),0.47 (2),0.19 (1),0.47 (1),
309016,stce,0.55 (14),0.65 (15),0.48 (3),0.19 (2),0.88 (20),
308980,ymf924,0.37 (4),0.25 (3),0.48 (4),0.22 (6),0.51 (7),
307375,chencheng498,0.36 (3),0.25 (2),0.51 (5),0.19 (3),0.48 (3),
307330,king001,0.37 (5),0.26 (4),0.53 (6),0.20 (5),0.50 (4),
310320,mjs227,0.40 (7),0.30 (7),0.55 (7),0.24 (11),0.51 (8),
310150,sananc,0.41 (8),0.32 (8),0.56 (8),0.22 (7),0.53 (10),
293104,EwelineCogSci,0.43 (10),0.33 (10),0.56 (9),0.33 (15),0.50 (5),
306488,sadat1971,0.40 (6),0.28 (6),0.58 (10),0.24 (10),0.51 (6),
310202,ccasula,0.47 (12),0.34 (12),0.60 (11),0.29 (12),0.67 (16),
309258,CICL_DMS,0.43 (9),0.33 (11),0.61 (12),0.23 (8),0.53 (11),
309304,Peyman.Hosseini,0.44 (11),0.32 (9),0.67 (13),0.23 (9),0.52 (9),
308107,Sana,3.56 (21),2.71 (22),0.67 (13),3.48 (22),7.38 (23),
305650,xiacui,0.94 (18),2.07 (21),0.68 (14),0.32 (14),0.69 (17),
305275,robvanderg,0.72 (15),1.11 (20),0.69 (15),0.47 (18),0.61 (12),
307844,Nitrogen_pump,0.54 (13),0.39 (13),0.69 (16),0.42 (17),0.65 (15),
306851,JoseAGD,0.81 (16),0.47 (14),1.71 (17),0.31 (13),0.73 (18),
308366,NiVi,0.94 (17),0.76 (17),1.89 (18),0.50 (19),0.61 (13),
305101,babysong,1.95 (19),1.07 (19),3.72 (19),0.33 (16),2.67 (22),
310470,Ankita,3.91 (22),0.75 (16),4.01 (20),3.48 (22),7.38 (23),
310528,AlessandroAstorino,3.12 (20),1.04 (18),7.84 (21),1.14 (21),2.44 (21),
310074,omaimah,3.93 (23),2.71 (22),8.91 (22),3.48 (22),0.61 (14),
310053,rana1998al_essa,3.96 (24),2.71 (22),8.91 (22),3.48 (22),0.75 (19),
308672,ruyuanwan,4.95 (25),2.71 (22),8.91 (22),0.79 (20),7.38 (23),
304516,morlikowski,5.69 (27),2.99 (23),8.91 (22),3.48 (22),7.38 (23),
290852,organizers_baseline,5.62 (26),2.71 (22),8.91 (22),3.48 (22),7.38 (23),
submission_pk,User,b'Average',b'HS-Brexit dataset',b'ArMIS dataset',b'ConvAbuse dataset',b'MD-Agreement dataset'
309304,Peyman.Hosseini,0.87 (6),0.90 (6),0.85 (1),0.93 (7),0.80 (13),
308980,ymf924,0.89 (1),0.92 (3),0.85 (1),0.95 (1),0.84 (3),
308107,Sana,0.81 (15),0.89 (8),0.85 (1),0.82 (17),0.67 (21),
308737,Duxy,0.89 (3),0.92 (4),0.84 (2),0.94 (3),0.85 (2),
309016,stce,0.89 (2),0.92 (3),0.84 (2),0.94 (2),0.85 (1),
307375,chencheng498,0.88 (4),0.93 (2),0.83 (3),0.94 (2),0.83 (5),
308962,Colain,0.88 (5),0.90 (6),0.83 (4),0.94 (4),0.84 (4),
310150,sananc,0.86 (8),0.91 (5),0.81 (5),0.92 (11),0.81 (12),
307330,king001,0.87 (7),0.91 (5),0.80 (6),0.94 (5),0.82 (9),
306488,sadat1971,0.86 (9),0.91 (5),0.76 (7),0.93 (6),0.83 (6),
293104,EwelineCogSci,0.82 (14),0.85 (11),0.75 (8),0.87 (14),0.82 (8),
310320,mjs227,0.85 (10),0.93 (1),0.74 (9),0.92 (10),0.81 (11),
310202,ccasula,0.84 (11),0.87 (10),0.72 (10),0.92 (9),0.82 (7),
309258,CICL_DMS,0.83 (13),0.89 (8),0.70 (11),0.93 (8),0.80 (15),
306851,JoseAGD,0.83 (12),0.90 (7),0.70 (11),0.91 (12),0.81 (10),
305650,xiacui,0.74 (20),0.88 (9),0.63 (12),0.85 (16),0.62 (22),
305101,babysong,0.80 (16),0.90 (7),0.59 (13),0.90 (13),0.80 (14),
310470,Ankita,0.73 (22),0.84 (12),0.58 (14),0.82 (17),0.67 (21),
308366,NiVi,0.64 (25),0.46 (15),0.58 (14),0.77 (18),0.74 (18),
310074,omaimah,0.74 (19),0.89 (8),0.57 (15),0.82 (17),0.69 (20),
310053,rana1998al_essa,0.77 (17),0.89 (8),0.57 (15),0.82 (17),0.79 (16),
308672,ruyuanwan,0.55 (26),0.89 (8),0.57 (15),0.08 (19),0.67 (21),
304516,morlikowski,0.72 (23),0.83 (13),0.57 (15),0.82 (17),0.67 (21),
290852,organizers_baseline,0.74 (21),0.89 (8),0.57 (15),0.82 (17),0.67 (21),
310528,AlessandroAstorino,0.71 (24),0.73 (14),0.56 (16),0.86 (15),0.70 (19),
307844,Nitrogen_pump,0.75 (18),0.89 (8),0.52 (17),0.82 (17),0.77 (17),
305275,robvanderg,0.20 (27),0.13 (16),0.41 (18),0.07 (20),0.18 (23),
