submission_pk,User,b'AQ (all)',b'AQ (known)',b'AQ (unknown)',b'IoU@0.5 (all)',b'IoU@0.5 (known)',b'IoU@0.5 (unknown)',b'recall@0.5 (all)',b'recall@0.5 (known)',b'recall@0.5 (unknown)'
321247,WenbangDeng,0.797 (1),0.819 (1),0.692 (1),0.801 (1),0.824 (1),0.693 (1),0.859 (1),0.880 (1),0.761 (1),
51474,lucas.nunes,0.700 (2),0.721 (2),0.600 (2),0.718 (2),0.745 (2),0.591 (2),0.819 (2),0.851 (2),0.668 (2),
410202,oreochiz,0.648 (3),0.670 (3),0.543 (3),0.679 (3),0.711 (3),0.523 (3),0.771 (3),0.809 (3),0.592 (3),
262229,dnn,0.512 (4),0.548 (4),0.340 (4),0.586 (4),0.630 (4),0.373 (4),0.723 (4),0.775 (4),0.478 (4),
254522,shapelim_lim,0.512 (4),0.548 (4),0.340 (4),0.586 (4),0.630 (4),0.373 (4),0.723 (4),0.775 (4),0.478 (4),
180658,zhoujunbao,0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),0.000 (5),
