submission_pk,User,b'mAP',b'mAUC',b'mF1'
486311,dongkyunk,0.372 (1),0.847 (1),0.366 (1),
490559,lynnj,0.348 (2),0.833 (5),0.257 (3),
486036,wongi_park,0.347 (3),0.836 (2),0.240 (8),
482692,v1olet,0.347 (4),0.834 (3),0.150 (18),
490056,Feng_Hong,0.345 (5),0.834 (4),0.238 (9),
489833,tianjie_dai,0.327 (6),0.822 (7),0.228 (13),
489591,YYama,0.326 (7),0.823 (6),0.228 (12),
489023,peratham.bkk,0.317 (8),0.814 (8),0.240 (7),
458270,cheliu22,0.305 (9),0.811 (10),0.234 (10),
487540,mengyuanma,0.302 (10),0.807 (11),0.231 (11),
475655,liujiaxing,0.302 (11),0.812 (9),0.224 (14),
486662,HuangYating,0.292 (12),0.802 (13),0.194 (17),
486654,amlan107,0.292 (13),0.803 (12),0.267 (2),
488566,l.l.l,0.276 (14),0.779 (14),0.246 (5),
486596,chautruong2602,0.262 (15),0.774 (15),0.243 (6),
486660,tsounack,0.249 (16),0.764 (16),0.250 (4),
458701,trongnghia7171,0.247 (17),0.746 (18),0.198 (16),
489817,hyunsu,0.225 (18),0.749 (17),0.219 (15),
489026,semper,0.221 (19),0.743 (19),0.138 (19),
487775,RuoxiangXu,0.197 (20),0.720 (20),0.112 (21),
485720,chironbang,0.093 (21),0.502 (21),0.065 (22),
482806,aFuu,0.093 (22),0.501 (22),0.131 (20),
441669,jingeunkim,0.093 (22),0.501 (22),0.131 (20),
