submission_pk,User,b'mAP@T=5',b'mAP@T=10(%)',b'mAP@T=15(%)',b'Avg.mAP (%)'
98521,OverWhelmingFIt,9.646 (1),18.316 (1),24.995 (1),17.653 (1),
353688,richard61,3.299 (2),7.767 (2),11.315 (2),7.460 (2),
98423,sthoduka,2.533 (3),4.322 (3),6.119 (3),4.325 (3),
