submission_pk,User,b'mIoU'
493206,Breizhchess,0.60920 (1),
493963,achanhon,0.59900 (2),
491139,xzx,0.58690 (3),
476315,weiquanhuang,0.58440 (4),
486232,cherif-med,0.57590 (5),
450720,flair-baseline,0.57580 (6),
484599,agri-gip,0.57310 (7),
473803,lgeo,0.56550 (8),
456434,Matthieu,0.56520 (9),
468989,YoushaaMurhij,0.55590 (10),
471207,aims_cover,0.54800 (11),
470656,tuyentx,0.52340 (12),
490513,jaco,0.48880 (13),
