submission_pk,User,b'PSNR(Y)',b'PSNR(RGB)',b'SSIM(Y)',b'SSIM(RGB)'
78565,chenfudan,25.1700 (2),23.7550 (2),0.7441 (1),0.7363 (1),
78836,chenliangyux,25.2033 (1),23.7873 (1),0.7438 (2),0.7360 (2),
78018,Adam,25.1315 (3),23.7139 (3),0.7386 (3),0.7302 (3),
77929,salientman,25.1305 (4),23.7126 (4),0.7379 (4),0.7295 (4),
76109,p66,25.0125 (6),23.5969 (7),0.7363 (5),0.7284 (5),
78551,daicver,25.0137 (5),23.5979 (6),0.7361 (6),0.7283 (6),
73292,hxxiao,24.9717 (14),23.5527 (14),0.7363 (5),0.7271 (7),
77228,TomTomTommi,24.9861 (11),23.5733 (10),0.7349 (8),0.7267 (8),
78362,huxiaotaostasy,24.9978 (8),23.5770 (9),0.7352 (7),0.7263 (9),
76258,ming_cheng,24.9537 (19),23.5361 (19),0.7343 (9),0.7251 (10),
78775,sky,24.9699 (15),23.5523 (15),0.7322 (13),0.7241 (11),
77833,gdut-506,24.9789 (12),23.5601 (12),0.7325 (12),0.7239 (12),
78101,chainey,24.9864 (10),23.5664 (11),0.7330 (10),0.7233 (13),
73900,Anniezero,24.9478 (21),23.5335 (21),0.7330 (10),0.7232 (14),
74842,Golf,24.9629 (16),23.5444 (17),0.7317 (14),0.7231 (15),
78516,leochangliu,24.9605 (17),23.5429 (18),0.7309 (15),0.7229 (16),
74015,ZJUT-IAISRC,24.9764 (13),23.5556 (13),0.7329 (11),0.7228 (17),
77680,LCLL,24.9962 (9),23.5891 (8),0.7298 (18),0.7222 (18),
77943,ajl0613,24.9518 (20),23.5344 (20),0.7301 (17),0.7221 (19),
78750,caopulan,25.0100 (7),23.5983 (5),0.7296 (19),0.7217 (20),
78324,codyshen,24.9216 (25),23.4987 (26),0.7301 (17),0.7211 (21),
78205,enoch,24.9396 (22),23.5227 (22),0.7286 (22),0.7206 (22),
77282,xiaozhazha,24.9570 (18),23.5490 (16),0.7290 (21),0.7203 (23),
76671,Piggy,24.8931 (28),23.4674 (28),0.7304 (16),0.7201 (24),
77751,linjx,24.8550 (30),23.4381 (30),0.7283 (23),0.7199 (25),
77252,Xy_Chen,24.9045 (27),23.4918 (27),0.7282 (24),0.7192 (26),
74343,junyang,24.8654 (29),23.4426 (29),0.7292 (20),0.7190 (27),
78210,xiaozhang,24.9343 (24),23.5200 (23),0.7296 (19),0.7188 (28),
77850,wangwu,24.9343 (24),23.5200 (23),0.7296 (19),0.7188 (28),
76820,HaoqiangYang,24.9190 (26),23.5090 (25),0.7265 (26),0.7186 (29),
75188,Zhang9678,24.9346 (23),23.5150 (24),0.7263 (27),0.7183 (30),
73256,YWww,24.8431 (31),23.4217 (32),0.7282 (24),0.7180 (31),
78372,wind,24.7685 (39),23.3444 (39),0.7268 (25),0.7157 (32),
78411,Xman,24.8165 (35),23.4066 (35),0.7225 (29),0.7144 (33),
78647,ipg_mrc,24.8391 (32),23.4242 (31),0.7220 (31),0.7133 (34),
75754,hitoverucb,24.7407 (40),23.3299 (40),0.7220 (31),0.7127 (35),
76754,zhurb90,24.8019 (37),23.3884 (36),0.7214 (32),0.7126 (36),
76081,baseline,24.8237 (34),23.4073 (34),0.7213 (33),0.7122 (37),
77643,hsguo,24.6580 (48),23.2371 (48),0.7221 (30),0.7120 (38),
75503,XXman,24.7818 (38),23.3695 (37),0.7208 (34),0.7119 (39),
75232,zhwzhong,24.8283 (33),23.4109 (33),0.7204 (36),0.7114 (40),
78837,orangetaste22,24.7146 (42),23.2910 (43),0.7207 (35),0.7103 (41),
76639,Hansheng,24.7072 (45),23.2918 (42),0.7194 (39),0.7101 (42),
78046,YuruiZhu,24.7101 (44),23.2845 (44),0.7208 (34),0.7097 (43),
75339,HyeonA_Kim,24.6926 (46),23.2718 (46),0.7200 (37),0.7095 (44),
74830,huapohen,24.7108 (43),23.2825 (45),0.7197 (38),0.7093 (45),
75432,MDSWYZ,24.7275 (41),23.3131 (41),0.7174 (42),0.7087 (46),
73939,qylen,24.6480 (50),23.2241 (50),0.7179 (41),0.7086 (47),
77818,phc,24.6584 (47),23.2323 (49),0.7182 (40),0.7071 (48),
77638,SummerinSummer,24.8032 (36),23.3540 (38),0.7252 (28),0.7070 (49),
76163,zhurb,24.6533 (49),23.2383 (47),0.7142 (43),0.7048 (50),
77432,autozty,24.4581 (52),23.0504 (52),0.7128 (44),0.7037 (51),
77462,lihb,24.5646 (51),23.1423 (51),0.7125 (45),0.7014 (52),
72865,featurex,24.3863 (53),22.9666 (53),0.7045 (46),0.6935 (53),
74682,Yulin_HUANG,24.2836 (54),22.8370 (54),0.6925 (47),0.6820 (54),
78083,psuuuu,23.2759 (56),21.2312 (56),0.6922 (48),0.6781 (55),
76075,sung,23.5983 (55),22.1603 (55),0.6816 (49),0.6649 (56),
