submission_pk,User,b'AUROC (\xe2\x86\x91)',b'AUPR (\xe2\x86\x91)',b'FPR95 (\xe2\x86\x93)'
209958,pavel.pleskov,100.0 (1),100.0 (1),0.0 (1),
210622,dpopovic,100.0 (2),100.0 (2),0.0 (1),
209315,tianjian10,99.5 (3),99.5 (3),1.2 (2),
208357,zhentingwang,98.7 (4),98.4 (4),3.4 (3),
210643,easytrojansniper,98.7 (5),98.3 (5),3.8 (4),
210489,dongyuanjushi,98.2 (6),97.7 (7),5.6 (5),
210645,Ziang,97.7 (7),98.0 (6),17.8 (6),
210556,zwa2,97.1 (8),97.5 (8),23.4 (7),
209597,thuster,95.7 (9),96.1 (9),27.0 (9),
205684,alexa13,95.5 (10),95.9 (10),26.6 (8),
209985,amsqr,89.6 (11),91.3 (11),50.0 (10),
210109,bulat15g,69.6 (12),65.5 (14),100.0 (15),
209180,YuliangXue,68.7 (13),68.4 (12),100.0 (15),
209555,AshLars,65.2 (14),67.2 (13),91.4 (12),
204081,mmazeika,63.4 (15),64.4 (15),91.0 (11),
207873,maloyan,62.5 (16),63.5 (16),99.6 (14),
209936,piligol,48.0 (17),49.1 (18),100.0 (15),
209728,mrsarthakgupta,47.8 (18),49.7 (17),97.2 (13),
