submission_pk,User,b'DER'
315065,MingCheng,8.82 (1),
317022,tl11,10.82 (2),
317018,HiMia,10.90 (3),
316953,guopengcheng,11.53 (4),
313460,asr000,13.05 (5),
314754,lm_bit,13.43 (6),
313767,qszhu,13.58 (7),
313262,vivolab,13.73 (8),
314770,XMUSPEECH,13.88 (9),
293725,MISP_Track1_Baseline,13.88 (9),
313698,dangkhoadl,13.92 (10),
308122,jvillal7,14.33 (11),
