submission_pk,User,b'Score',b'OSR',b'DPR'
105053,binlin,57.4675 (1),35.5300 (1),79.4050 (1),
101900,DonDominic,56.3585 (2),33.9650 (2),78.7520 (2),
104991,Aluka,54.3925 (3),33.0260 (4),75.7590 (3),
104120,h_star,52.5255 (4),33.3900 (3),71.6610 (7),
103471,pppp_66,52.4465 (5),32.1450 (6),72.7480 (4),
103784,hexing,52.0420 (6),32.3840 (5),71.7000 (6),
91539,xiaoshu,51.7935 (7),31.0670 (8),72.5200 (5),
90903,XC_00,50.2895 (8),31.3170 (7),69.2620 (10),
103335,wobistdu,48.9865 (9),28.0090 (11),69.9640 (8),
102842,NoBody,48.9390 (10),27.9680 (12),69.9100 (9),
104651,HH,48.8615 (11),30.1720 (9),67.5510 (13),
90610,ironman,48.1960 (12),28.7230 (10),67.6690 (12),
104381,vem,46.6880 (13),25.5830 (13),67.7930 (11),
104458,LIC,45.0230 (14),22.6520 (17),67.3940 (14),
103926,yida,43.3975 (15),23.1230 (16),63.6720 (20),
104833,xhxhhhhhh,43.0785 (16),21.8700 (18),64.2870 (17),
104750,rrrrrrrrr,42.9750 (17),21.5290 (22),64.4210 (16),
103919,theMan,42.9730 (18),21.7170 (19),64.2290 (18),
99499,tss,42.8135 (19),18.8790 (29),66.7480 (15),
104739,dddddddd,42.6485 (20),21.5490 (21),63.7480 (19),
103759,zuoyi,42.6095 (21),21.5650 (20),63.6540 (21),
104836,txzx666,41.5740 (22),19.6790 (26),63.4690 (22),
104639,hhh666,41.5390 (23),20.9850 (25),62.0930 (24),
104764,s1mple,40.8450 (24),25.0900 (14),56.6000 (27),
104252,daming,40.8080 (25),24.9500 (15),56.6660 (26),
104682,Deja_Vu,40.2445 (26),17.6990 (34),62.7900 (23),
101553,HideOnBush,38.6580 (27),21.0070 (24),56.3090 (28),
100869,hjshxb,38.6130 (28),21.3600 (23),55.8660 (29),
104595,nan..,38.1860 (29),19.2440 (28),57.1280 (25),
102728,bbaa1122,37.2900 (30),19.3540 (27),55.2260 (30),
103674,zjphust,35.2555 (31),17.9390 (30),52.5720 (31),
104344,ztc990901,35.0090 (32),17.8260 (31),52.1920 (32),
98975,VegetarianFish,34.9690 (33),17.8130 (32),52.1250 (34),
104329,lh111,34.9350 (34),17.7400 (33),52.1300 (33),
103663,lzr,25.9910 (35),10.9160 (35),41.0660 (35),
104878,kennys,18.1000 (36),10.4000 (37),25.8000 (36),
105009,legal,18.0960 (37),10.4220 (36),25.7700 (38),
104882,zywoo,18.0945 (38),10.3940 (38),25.7950 (37),
105017,pikac,18.0200 (39),10.3580 (39),25.6820 (40),
105019,yyds,18.0150 (40),10.3440 (40),25.6860 (39),
104753,Somebody,17.9730 (41),10.3390 (41),25.6070 (41),
105013,fox,17.9055 (42),10.2490 (42),25.5620 (42),
68129,zf020114,1.5695 (43),0.0000 (43),3.1390 (43),
