submission_pk,User,b'mAP'
96653,icecreamztq,93.88 (1),
96880,demo12,93.86 (2),
96621,determined_dhaze,93.72 (3),
96156,longpham3105,93.65 (4),
96859,nbhhhh2,93.59 (5),
96867,demo10,93.57 (6),
96873,alfaholic,93.57 (7),
96852,nbhhhhh1,93.54 (8),
96848,demo9,93.41 (9),
96195,pangzihei,93.18 (10),
96797,newone2,93.15 (11),
96566,IPIU-XDU,93.01 (12),
96666,yongganxiaomeiqiu,93.00 (13),
96837,demo7,92.83 (14),
96471,BDD,92.81 (15),
96153,willer,92.79 (16),
96762,newone,92.76 (17),
96737,demo,92.67 (18),
96269,wqm1,92.36 (19),
96408,lzpalex,92.25 (20),
96755,demo4,92.23 (21),
96296,hqh,92.19 (22),
96313,zx,92.18 (23),
96825,demo6,92.10 (24),
96720,zhaoXN,91.85 (25),
96680,zidingyi2,91.77 (26),
96475,wyndy,91.77 (27),
96324,qcq,91.70 (28),
96459,zyldg,91.33 (29),
96196,JohnWickzz,91.01 (30),
96545,bdsyh,90.91 (31),
96874,demo11,90.91 (32),
96687,wj139,90.84 (33),
96284,tanghulu,90.62 (34),
96816,demo5,90.58 (35),
96606,USTC-IAT-United,90.25 (36),
96362,yuele980,90.25 (36),
96359,wangyi87625,90.25 (36),
96556,BingDwenDwen,90.22 (37),
96336,wjlvg,90.09 (38),
96411,tangweiyi,90.08 (39),
96169,tangzixia,90.08 (39),
96206,zxcvbnm,89.37 (40),
96304,mmmjjjwww,89.31 (41),
96402,SuperMen,89.27 (42),
96279,sisiqq,89.24 (43),
96289,linkaihao,88.94 (44),
96600,d_257233963,88.91 (45),
96347,helo98765,88.85 (46),
96197,iheroig,88.77 (47),
96488,lucky_dia,88.68 (48),
96339,helo12389,88.61 (49),
96290,qc,88.56 (50),
96317,tuewa,88.55 (51),
96503,pommespter,88.50 (52),
96222,afwesgsdgafs,88.46 (53),
96789,xzgnbv,88.43 (54),
96413,BestLyy,88.30 (55),
96795,xiaoFan,88.13 (56),
96263,sunraku,88.04 (57),
96721,Minh,87.78 (58),
96241,HanZhou,87.41 (59),
96178,qwrtwegyeryh4qet,86.93 (60),
96261,miniqw,86.13 (61),
96280,www,85.90 (62),
96315,sinmitom,85.79 (63),
96831,ngungu46,85.24 (64),
96500,littehan,84.87 (65),
96228,qawsed,84.30 (66),
96320,lyx,84.28 (67),
96151,qwertyuiop,81.30 (68),
96141,ZhaonanLi,80.36 (69),
96188,zyh,78.77 (70),
96164,thlbsj,78.77 (70),
96287,Switterland,77.09 (71),
96754,chm,76.56 (72),
96397,koukou,74.32 (73),
96634,ying,70.36 (74),
