submission_pk,User,b'< Rank >',b'MCC',b'Recall',b'Precision',b'Disk Footprint (Bytes)',b'Model Params'
169144,sggwjb,1.33 (1),0.9637 (1),0.9683 (2),0.9683 (1),2244861551.0 (2),559890432.0 (2),
167117,OrganizersBaselines,2.17 (3),0.8547 (2),0.8730 (3),0.8730 (2),2260734129.0 (3),565137435.0 (3),
167655,ahmetgunduz,2.00 (2),0.2191 (3),0.3175 (4),0.3175 (3),2052963739.0 (1),12345.0 (1),
169239,hui,2.83 (4),0.0000 (4),1.0000 (1),0.1260 (4),2277517335.0 (4),596639744.0 (4),
