submission_pk,User,b'PSNR',b'SSIM'
420016,wangluping2023,26.633 (1),0.82482 (4),
420253,HUST_VIE,26.604 (2),0.83438 (1),
419542,chaos294,26.503 (3),0.82230 (6),
419993,binliu,26.470 (4),0.82208 (7),
419573,IMAGCX,26.131 (5),0.81189 (8),
419784,SAU-GaofenLab,26.129 (6),0.81186 (9),
419839,xiaoFan,26.124 (7),0.81176 (13),
419647,RainPixel,26.123 (8),0.81185 (11),
419702,IMAGHLee,26.123 (9),0.81185 (10),
419629,ZHZhao,26.122 (10),0.81180 (12),
419838,ljf,26.122 (11),0.81173 (14),
419876,ljy,26.121 (12),0.81171 (15),
419880,chm,26.119 (13),0.81168 (16),
415073,neu,26.047 (14),0.82663 (3),
420228,MahouShoujo,25.980 (15),0.81042 (17),
419809,xixiha,25.967 (16),0.80584 (19),
417525,chenhm5,25.889 (17),0.80972 (18),
417784,xiong,25.845 (18),0.83423 (2),
418599,zsd,25.675 (19),0.79854 (22),
413425,min_gao,25.641 (20),0.80483 (20),
420069,leaves,25.425 (21),0.79173 (23),
417849,Sunyuky,25.387 (22),0.79925 (21),
413175,Outsiders2,25.198 (23),0.78355 (24),
415495,chuyhu,24.640 (24),0.76537 (29),
411729,guoyun2000,24.612 (25),0.82441 (5),
417873,zhazhahui,24.268 (26),0.76470 (31),
417555,xingzhe,24.204 (27),0.76239 (32),
409942,ChenXiang,24.158 (28),0.76861 (28),
389022,PixelBE,24.134 (29),0.76012 (33),
400565,PixelArtAI,24.101 (30),0.75902 (34),
406759,jsb,24.007 (31),0.75889 (35),
401168,Haog,23.990 (32),0.77712 (27),
399528,BingXi,23.756 (33),0.74366 (41),
404823,nathan,23.679 (34),0.73913 (48),
415823,joao.ribeiro,23.551 (35),0.74161 (44),
393136,lvboodvl,23.521 (36),0.74632 (40),
401450,wangerniuniu,23.511 (37),0.74794 (39),
386190,yyc,23.455 (38),0.76515 (30),
387540,QuangTran,23.344 (39),0.74842 (38),
386210,LiuHao,23.313 (40),0.74020 (46),
394218,Outsiders,23.262 (41),0.75113 (36),
388801,avengers,23.211 (42),0.73997 (47),
394714,Haniel_Jacob,22.980 (43),0.73721 (49),
388350,hzwzcc,22.901 (44),0.75026 (37),
411049,ajay_narayanan,22.697 (45),0.74351 (42),
401564,SuperCV,22.696 (46),0.72974 (50),
406530,tinyswish,22.539 (47),0.74225 (43),
415899,alpha_beta,22.527 (48),0.77886 (25),
418756,rookie227,22.527 (49),0.77886 (26),
417567,JinYong,22.527 (49),0.77886 (26),
398695,yan.wei,22.517 (50),0.72776 (51),
386590,wisdomXZ,22.278 (51),0.74150 (45),
394194,gechengjie,21.950 (52),0.72733 (52),
388090,muhammadwaseem,21.611 (53),0.68642 (53),
389256,company,20.414 (54),0.65032 (54),
