submission_pk,User,b'Average Macro F1',b'Precision HS',b'Recall HS',b'F1 HS',b'Precision NHS',b'Recall NHS',b'F1 NHS'
381224,JL_DomOlmedo,0.5012 (1),0.0163 (1),0.1905 (4),0.0301 (1),0.9963 (4),0.9496 (5),0.9724 (5),
381037,juanmanuel.calvo,0.4989 (2),0.0000 (6),0.0000 (5),0.0000 (6),0.9956 (6),1.0000 (1),0.9978 (1),
381110,zahraahani,0.4975 (3),0.0000 (6),0.0000 (5),0.0000 (6),0.9956 (7),0.9944 (2),0.9950 (2),
362908,moeintash,0.4974 (4),0.0000 (6),0.0000 (5),0.0000 (6),0.9956 (8),0.9941 (3),0.9949 (3),
381184,varsha2010399,0.4937 (5),0.0000 (6),0.0000 (5),0.0000 (6),0.9955 (9),0.9795 (4),0.9875 (4),
371466,honghanhh,0.4862 (6),0.0128 (3),0.2857 (3),0.0246 (3),0.9965 (2),0.9036 (6),0.9478 (6),
378798,ronghao,0.4822 (7),0.0116 (4),0.2857 (3),0.0223 (4),0.9965 (3),0.8934 (7),0.9421 (7),
375235,mgraffg,0.4651 (8),0.0150 (2),0.6190 (1),0.0292 (2),0.9980 (1),0.8211 (8),0.9009 (8),
380398,haanh764,0.4429 (9),0.0065 (5),0.3333 (2),0.0128 (5),0.9962 (5),0.7770 (9),0.8730 (9),
