submission_pk,User,b'PSNR',b'muPSNR',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
305840,cui666,40.18 (1),37.63 (1),-1.00 (1),-1.00 (1),-1.00 (1),
88223,lishen,38.98 (4),36.82 (12),0.00 (2),-1.00 (1),-1.00 (1),
83023,FangyaLi,36.61 (47),35.58 (46),-1.00 (1),-1.00 (1),-1.00 (1),
82782,ACALJJ32,39.79 (2),37.11 (2),-1.00 (1),-1.00 (1),-1.00 (1),
71675,QianPaiChiGua,38.29 (26),36.95 (5),0.00 (2),-1.00 (1),-1.00 (1),
70025,willqtu,37.29 (38),35.25 (51),-1.00 (1),-1.00 (1),-1.00 (1),
65959,luoylin,38.50 (19),36.90 (6),-1.00 (1),-1.00 (1),-1.00 (1),
54948,mialgo_ls,36.04 (49),35.71 (44),-1.00 (1),-1.00 (1),-1.00 (1),
72249,jiangchengzhi,37.34 (37),36.77 (16),0.00 (2),210.88 (18),0.00 (2),
71840,songguitar,38.34 (25),36.59 (24),0.00 (2),0.00 (2),0.00 (2),
71344,morven,38.93 (6),36.87 (8),0.00 (2),210.88 (18),0.00 (2),
66966,crf_hdu,38.74 (14),36.46 (30),2.00 (30),0.00 (2),0.00 (2),
66746,cookie,38.76 (13),36.85 (10),0.00 (2),0.00 (2),0.00 (2),
66172,cvfly,37.87 (29),36.34 (35),0.20 (19),0.00 (2),0.00 (2),
59633,ygcheng,38.82 (10),36.78 (15),10.43 (31),0.00 (2),0.00 (2),
58406,Lonson,21.41 (63),9.23 (64),2.00 (30),0.00 (2),0.00 (2),
55907,Xy_Chen,31.83 (56),34.70 (52),0.52 (23),0.00 (2),0.00 (2),
49014,hpalwforever,37.78 (31),35.66 (45),0.04 (5),188.40 (11),666.00 (3),
72273,steventel,36.18 (48),34.47 (54),0.05 (8),118.99 (4),38827.00 (4),
44033,sibicatleychandar,35.23 (53),35.35 (50),0.05 (9),133.64 (5),64595.00 (5),
72172,Fancy,37.11 (43),35.82 (43),0.04 (6),199.39 (15),80647.00 (6),
71569,DylanPeter,37.22 (41),36.26 (37),0.01 (4),199.98 (16),94347.00 (7),
71656,liuzhen,37.78 (32),36.44 (32),0.20 (19),199.16 (14),103147.00 (8),
70821,Hao-mk,35.73 (51),34.32 (56),0.80 (26),369.00 (21),123147.00 (9),
69212,yeeah,39.41 (3),36.96 (3),0.15 (17),156.12 (8),188992.00 (10),
59682,hoho,38.81 (11),36.88 (7),0.16 (18),156.12 (7),193216.00 (11),
71145,blindbox,37.21 (42),36.60 (23),0.13 (15),4645.39 (31),208304.00 (12),
70139,Emolly,38.07 (28),36.67 (20),0.51 (22),1295.24 (27),253314.00 (13),
66703,hhh0214,38.46 (22),36.95 (4),0.01 (4),1295.24 (27),253314.00 (13),
461587,jianghaorong1163,32.27 (55),34.49 (53),1.27 (29),1245.78 (26),254310.00 (14),
454130,jianghaorong1,30.59 (58),34.08 (58),1.27 (29),1245.78 (26),254310.00 (14),
386825,jhr,31.11 (57),34.40 (55),1.27 (29),1245.78 (26),254310.00 (14),
331618,haorongjiang,30.29 (59),33.93 (59),1.27 (29),1245.78 (26),254310.00 (14),
72199,NygmaLin,37.07 (44),36.33 (36),1.27 (29),1245.78 (26),254310.00 (14),
71944,Good,37.56 (36),35.98 (41),1.27 (29),1245.78 (26),254310.00 (14),
71464,xiaoliu,38.59 (17),36.37 (34),1.27 (29),1245.78 (26),254310.00 (14),
71213,jiangli,38.82 (9),36.82 (11),1.27 (29),1245.78 (26),254310.00 (14),
70431,lxp0_0,35.69 (52),36.05 (39),1.27 (29),1245.78 (26),254310.00 (14),
70345,mrchang87,25.07 (60),15.03 (61),1.27 (29),1245.78 (26),254310.00 (14),
67859,Dawns,38.83 (8),36.72 (17),1.27 (29),1245.78 (26),254310.00 (14),
67073,richlaji,38.61 (16),36.80 (13),1.27 (29),1245.78 (26),254310.00 (14),
66037,kcml2,38.97 (5),36.45 (31),1.27 (29),1245.78 (26),254310.00 (14),
59282,loveletter,38.83 (8),36.72 (17),1.27 (29),1245.78 (26),254310.00 (14),
58166,vovantu,37.29 (39),34.14 (57),1.27 (29),1245.78 (26),254310.00 (14),
52633,tuvovan,37.77 (33),35.39 (49),1.27 (29),1245.78 (26),254310.00 (14),
48169,wangheyu,21.96 (62),9.91 (63),1.27 (29),1245.78 (26),254310.00 (14),
