submission_pk,User,b'Score'
394169,JieunKim,20.000000 (1),
394144,inescfpinto,20.000000 (1),
394047,heatherhong,20.000000 (1),
394017,hsi1032,20.000000 (1),
393981,WoojinJeong,20.000000 (1),
393970,Jungahn,20.000000 (1),
393888,JuannKim,20.000000 (1),
393790,HwangSungJoon,20.000000 (1),
393732,LeeJungJu,20.000000 (1),
393615,CHENMEICEN,20.000000 (1),
393506,changmoku1,20.000000 (1),
393497,longpham3105,20.000000 (1),
393488,lsk,20.000000 (1),
393483,OhseungKWON,20.000000 (1),
393480,minkyulee,20.000000 (1),
393472,junyujae,20.000000 (1),
393434,gyeong_ryeol_song,20.000000 (1),
393342,briankim,20.000000 (1),
393274,Moon_Jaewan,20.000000 (1),
392656,hanbyullee,20.000000 (1),
392549,RagnarNW,20.000000 (1),
392475,JaehyukJang,20.000000 (1),
392444,DongchanSeo,20.000000 (1),
392317,HyunmoYang,20.000000 (1),
392294,jinsuby,20.000000 (1),
392180,WonJunMoon,20.000000 (1),
392075,GeunminHwang,20.000000 (1),
391963,SunghunKim,20.000000 (1),
391956,ByeonghyeonLee,20.000000 (1),
391899,leemiso,20.000000 (1),
391782,HyunJinKim,20.000000 (1),
391724,SeungwooJang,20.000000 (1),
391146,haps,20.000000 (1),
390327,SnagHoLee,20.000000 (1),
390278,jjw2564,20.000000 (1),
390092,sminyu,20.000000 (1),
389717,gilhanpark,20.000000 (1),
389289,HowoongLee,20.000000 (1),
389273,SuBeenLee,20.000000 (1),
387363,JinsunLee,20.000000 (1),
387283,Ohsungbhin,20.000000 (1),
387135,JonghunKim_,20.000000 (1),
387116,SuhyoungHa,20.000000 (1),
386986,HyeongkiAhn,20.000000 (1),
386574,Sejeong.Lim,20.000000 (1),
386563,jiminAn,20.000000 (1),
386438,oooi,20.000000 (1),
386428,siwoolee,20.000000 (1),
386293,deny,20.000000 (1),
386264,hpnquoc,20.000000 (1),
385629,ngochdm,20.000000 (1),
385077,tdc2000,20.000000 (1),
394177,JaeJoon-Lee,18.000000 (2),
