submission_pk,User,b'avg',b'ca_ancora',b'cs_pcedt',b'cs_pdt',b'de_parcorfull',b'de_potsdamcc',b'en_gum',b'en_parcorfull',b'es_ancora',b'fr_democrat',b'hu_szegedkoref',b'lt_lcc',b'pl_pcc',b'ru_rucor'
147069,straka,76.01 (1),78.08 (1),79.47 (1),78.47 (1),73.87 (2),78.26 (1),76.01 (1),75.08 (1),81.76 (1),68.99 (1),69.21 (2),78.00 (1),76.33 (1),74.61 (1),
147072,straka-single-multilingual-model,73.17 (2),76.86 (2),79.29 (2),78.13 (2),70.63 (3),74.71 (3),74.78 (2),61.17 (4),80.86 (2),67.43 (2),64.64 (4),76.00 (3),75.21 (2),71.44 (2),
159274,ondfa,72.46 (3),69.10 (4),74.62 (4),71.64 (4),83.21 (1),77.85 (2),72.15 (4),68.24 (2),72.07 (4),65.20 (4),70.53 (1),76.17 (2),73.34 (3),67.85 (4),
147073,straka-only-single-treebank-data,70.98 (4),76.33 (3),78.74 (3),76.94 (3),65.66 (4),62.05 (4),73.75 (3),63.19 (3),79.52 (3),66.85 (3),64.82 (3),73.38 (4),71.69 (4),69.87 (3),
146582,berulasek,63.19 (5),64.62 (5),70.59 (5),68.24 (5),57.26 (5),57.60 (5),67.27 (5),57.36 (5),66.83 (5),55.16 (5),60.74 (5),68.98 (5),64.32 (5),62.53 (6),
109516,sidoj,62.48 (6),64.11 (6),70.19 (6),67.57 (6),55.44 (6),57.43 (6),66.39 (6),57.32 (6),65.64 (6),54.49 (6),58.68 (6),68.69 (6),63.62 (6),62.65 (5),
146576,simple_baseline,19.13 (7),16.21 (7),7.05 (7),9.09 (7),25.28 (7),21.27 (7),20.84 (7),28.83 (7),17.14 (7),18.13 (7),18.00 (7),27.06 (7),15.49 (7),24.29 (7),
