submission_pk,User,b'DER'
389564,augnito_speech,37.6 (1),
449628,AUDIAS-UAM,40.2 (2),
411200,SpeechGroupIITDH,41.2 (3),
425053,BASELINES,42.0 (4),
448798,gintautas_VU,43.1 (5),
