submission_pk,User,b'avg F1'
144555,th,0.595802 (1),
144492,Mikedddd,0.559295 (2),
144530,ryanwong,0.514309 (3),
141029,juliojj,0.395083 (4),
141918,wshhh,0.375134 (5),
143892,UTN,0.360968 (6),
144509,first_lab,0.352965 (7),
143950,Wy_Z,0.310087 (8),
141729,digggggggg,0.276175 (9),
141389,ele123456,0.266560 (10),
143282,vqaf,0.258729 (11),
141936,gh788gvcb,0.242954 (12),
141754,sa4f5a0,0.238248 (13),
141709,hajimalu,0.213809 (14),
142065,nonevalue,0.000000 (15),
142043,c_grapgh,0.000000 (15),
141927,F8GUFGJ77,0.000000 (15),
141904,sa76g78sa,0.000000 (15),
141899,sa7d58a,0.000000 (15),
141264,BUPThaha,0.000000 (15),
