submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
372194,kawa_yo,0.0000000 (1),93.00 (1),0.086 (3),0.0654267 (1),
420339,neuralchecker,0.0000000 (1),96.00 (2),0.056 (2),0.0674238 (2),
373385,EdiMuskardin,0.0000000 (1),120.00 (3),0.038 (1),0.0841690 (3),
358781,r.hakimi,0.5207700 (2),149.00 (4),0.152 (4),0.3652613 (4),
350153,TAYSIR-Baseline,0.5207700 (2),150.00 (5),0.168 (5),0.3660161 (5),
