submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
395247,kawa_yo,0.3269795 (2),105.00 (1),0.025 (1),0.2256924 (1),
420315,neuralchecker,0.3269795 (2),108.00 (2),0.030 (2),0.2275360 (2),
363996,EdiMuskardin,0.3267700 (1),132.00 (3),0.038 (3),0.2416978 (3),
350155,TAYSIR-Baseline,0.3269795 (2),163.00 (4),0.166 (4),0.2622803 (4),
