submission_pk,User,b'Score',b'Agent computation time'
480560,an39,44.16 (1),2513.60 (2),
485151,David_Willams,-84.64 (2),0.03 (1),
491309,powerflow_team,-130.00 (3),99999.00 (3),
491137,sorfanoudakis,-130.00 (3),99999.00 (3),
