submission_pk,User,b'binary_acc',b'binary_f1',b'type_acc',b'type_f1',b'corr_ex',b'corr_f0.5',b'Duration'
297117,visualjoyce,0.5600 (5),0.5466 (5),0.0990 (5),0.0257 (3),0.0937 (9),0.2283 (8),0.00 (1),
282289,hcjiang,0.5000 (8),0.4714 (7),0.0990 (5),0.0257 (3),0.0508 (10),0.1562 (10),0.00 (2),
381981,mni,0.5513 (6),0.3554 (8),0.0990 (5),0.0257 (3),0.3416 (3),0.4436 (3),0.00 (3),
388068,yumao,0.5513 (6),0.3554 (8),0.0990 (5),0.0257 (3),0.3337 (4),0.4431 (4),0.00 (4),
423947,JamyDon,0.5157 (7),0.5156 (6),0.2933 (3),0.0207 (5),0.0441 (11),0.0759 (11),0.00 (5),
488756,luamaker,0.7667 (2),0.7612 (2),0.5447 (1),0.5856 (1),0.2630 (7),0.4116 (7),0.00 (6),
483802,daisy,0.5513 (6),0.3554 (8),0.0990 (5),0.0257 (3),0.1070 (8),0.1720 (9),0.00 (7),
415420,zjtzjt,0.7483 (3),0.7475 (3),0.0990 (5),0.0257 (3),0.3936 (1),0.5709 (1),0.00 (8),
456201,GMago,0.7797 (1),0.7795 (1),0.0990 (5),0.0257 (3),0.3168 (5),0.4316 (6),0.00 (9),
493628,lj4040,0.5513 (6),0.3554 (8),0.1796 (4),0.0435 (2),0.3579 (2),0.4331 (5),0.00 (10),
481228,owyangyahe,0.6867 (4),0.6800 (4),0.4503 (2),0.0244 (4),0.3120 (6),0.5402 (2),0.00 (11),
