submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
241966,VINHYU,31.07 (8),0.93 (7),5.83 (9),0.00 (2),0.00 (1),
228293,andrealiu,34.25 (3),0.94 (5),4.20 (8),1.00 (1),0.00 (1),
228296,Juan,31.83 (7),0.93 (6),0.01 (3),0.00 (2),0.00 (1),
228300,YuZhu,33.99 (4),0.96 (2),0.33 (7),0.00 (2),0.00 (1),
228297,noahtcv,35.77 (2),0.96 (3),0.10 (5),1.00 (1),0.00 (1),
228299,baifree,37.09 (1),0.96 (1),0.02 (4),0.00 (2),0.00 (1),
228292,birdortyedi,30.69 (9),0.92 (8),0.01 (2),0.00 (2),0.00 (1),
228294,yinzhicun,34.25 (3),0.94 (5),4.20 (8),1.00 (1),0.00 (1),
169010,nanashi,32.13 (6),0.90 (9),0.20 (6),0.00 (2),0.00 (1),
228295,jinhakim,32.63 (5),0.95 (4),-1.00 (1),-1.00 (3),-1.00 (2),
