submission_pk,User,b'EER',b'mDCF'
152280,Jayden1998,3.005 (1),0.294 (1),
151823,HiMia,3.470 (2),0.319 (2),
153432,Badlands,3.510 (3),0.404 (3),
153243,bingo,4.930 (5),0.482 (4),
153369,ZXIC_01,4.409 (4),0.511 (5),
113642,SunghwanMun,5.993 (6),0.595 (6),
153096,xudongwang,6.846 (8),0.626 (7),
150404,konka_corp_sz,6.674 (7),0.627 (8),
140344,FFSVC_Organizer,7.021 (9),0.681 (9),
150859,DYB_Shnu,48.508 (10),1.000 (10),
