submission_pk,User,b'f1',b'Precision',b'Recall'
121071,LuisArellano,0.7817 (1),0.82 (4),0.74 (6),
372446,EstebanPonce3,0.7804 (2),0.83 (2),0.74 (10),
115223,danielvallejo237,0.7759 (3),0.80 (6),0.75 (4),
363436,Arnold,0.7709 (4),0.79 (8),0.75 (2),
455446,Juan_Guzman_Landa,0.7656 (5),0.83 (3),0.71 (14),
110796,sdamian,0.7562 (6),0.76 (10),0.75 (3),
113675,pturon,0.7555 (7),0.82 (5),0.70 (15),
113846,Bernardo,0.7548 (8),0.78 (9),0.73 (11),
114249,ITAINNOVA,0.7529 (9),0.79 (7),0.72 (13),
461260,mgraffg,0.7510 (10),0.76 (11),0.74 (8),
113228,Abu,0.7480 (11),0.76 (12),0.74 (9),
114778,atnafu,0.7455 (12),0.76 (10),0.73 (12),
105063,tahoangthang,0.7444 (13),0.74 (13),0.75 (5),
106762,JuanCalderon,0.7428 (14),0.72 (14),0.76 (1),
111602,JoseAGD,0.7397 (15),0.89 (1),0.63 (16),
104958,sustaitangel,0.7261 (16),0.71 (15),0.74 (7),
118668,hugojair,0.4715 (17),0.47 (16),0.47 (17),
