submission_pk,User,b'DER'
35145,hxj_666,9.55 (1),
36298,Mintcat,9.87 (2),
26299,z3c,10.22 (3),
24030,xakbz,17.07 (4),
22261,bsmu,17.18 (5),
24259,saber,32.19 (6),
22242,Test,42.55 (7),
