submission_pk,User,b'F1',b'precision_score',b'recall_score'
399073,kamalkraj,0.779 (1),0.745 (1),0.816 (3),
340339,bp-high,0.694 (2),0.657 (2),0.736 (4),
473746,abelcorreadias,0.672 (3),0.569 (4),0.820 (2),
313152,cychen,0.659 (4),0.620 (3),0.704 (5),
325786,wwangbw,0.646 (5),0.508 (5),0.888 (1),
396444,Grazh,0.172 (6),0.491 (6),0.104 (6),
