submission_pk,User,b'PLCC',b'SROCC',b'Diff_Sim_AUC',b'Better_Worse_CC'
384627,orangeee,0.9402 (1),0.8796 (1),0.9045 (1),0.9705 (1),
382727,philox12358,0.9350 (2),0.8709 (2),0.8996 (2),0.9691 (2),
385355,rWatanabe,0.8999 (3),0.8284 (3),0.8487 (4),0.9469 (3),
379031,Qingyang_Zhou,0.8960 (4),0.7969 (4),0.8522 (3),0.9291 (4),
376239,zhang_yujie,0.8348 (5),0.7522 (6),0.7738 (5),0.8969 (5),
383533,omessai,0.8086 (6),0.7937 (5),0.7312 (6),0.8939 (6),
345505,concombr,0.4768 (7),0.5306 (7),0.6520 (7),0.8022 (7),
352603,Nouar,0.0013 (8),0.0115 (8),0.5029 (8),0.5122 (8),
