submission_pk,User,b'Mean joint error (left hand)',b'Mean joint error (right hand)',b'3D PCK@15mm (left hand)',b'3D PCK@15mm (right hand)',b'3D PCK@30mm (left hand)',b'3D PCK@30mm (right hand)'
472499,zijinxuxu,0.0097 (6),0.0115 (6),93.80 (1),84.84 (1),99.05 (1),98.78 (1),
191271,dukim,0.0144 (5),0.0159 (5),70.75 (2),54.61 (2),93.81 (2),95.08 (2),
191542,lwxnba,0.0208 (3),0.0247 (3),40.77 (3),32.29 (3),80.36 (4),73.56 (4),
352803,virth,0.0205 (4),0.0191 (4),21.05 (4),27.82 (4),92.81 (3),94.74 (3),
179135,ATAboukhadra,0.0368 (1),0.0365 (1),14.12 (5),9.84 (5),48.02 (5),41.13 (5),
191261,frcw,0.0350 (2),0.0356 (2),12.67 (6),2.98 (6),43.71 (6),37.12 (6),
