submission_pk,User,b'IoU'
192555,lambert,0.5340 (1),
181509,yajie,0.4475 (2),
submission_pk,User,b'IoU_animal--bird',b'IoU_animal--ground-animal',b'IoU_construction--barrier--curb',b'IoU_construction--barrier--fence',b'IoU_construction--barrier--guard-rail',b'IoU_construction--barrier--other-barrier',b'IoU_construction--barrier--wall',b'IoU_construction--flat--bike-lane',b'IoU_construction--flat--crosswalk-plain',b'IoU_construction--flat--curb-cut',b'IoU_construction--flat--parking',b'IoU_construction--flat--pedestrian-area',b'IoU_construction--flat--rail-track',b'IoU_construction--flat--road',b'IoU_construction--flat--service-lane',b'IoU_construction--flat--sidewalk',b'IoU_construction--structure--bridge',b'IoU_construction--structure--building',b'IoU_construction--structure--tunnel',b'IoU_human--person',b'IoU_human--rider--bicyclist',b'IoU_human--rider--motorcyclist',b'IoU_human--rider--other-rider',b'IoU_marking--crosswalk-zebra',b'IoU_marking--general',b'IoU_nature--mountain',b'IoU_nature--sand',b'IoU_nature--sky',b'IoU_nature--snow',b'IoU_nature--terrain',b'IoU_nature--vegetation',b'IoU_nature--water',b'IoU_object--banner',b'IoU_object--bench',b'IoU_object--bike-rack',b'IoU_object--billboard',b'IoU_object--catch-basin',b'IoU_object--cctv-camera',b'IoU_object--fire-hydrant',b'IoU_object--junction-box',b'IoU_object--mailbox',b'IoU_object--manhole',b'IoU_object--phone-booth',b'IoU_object--pothole',b'IoU_object--street-light',b'IoU_object--support--pole',b'IoU_object--support--traffic-sign-frame',b'IoU_object--support--utility-pole',b'IoU_object--traffic-light',b'IoU_object--traffic-sign--back',b'IoU_object--traffic-sign--front',b'IoU_object--trash-can',b'IoU_object--vehicle--bicycle',b'IoU_object--vehicle--boat',b'IoU_object--vehicle--bus',b'IoU_object--vehicle--car',b'IoU_object--vehicle--caravan',b'IoU_object--vehicle--motorcycle',b'IoU_object--vehicle--on-rails',b'IoU_object--vehicle--other-vehicle',b'IoU_object--vehicle--trailer',b'IoU_object--vehicle--truck',b'IoU_object--vehicle--wheeled-slow',b'IoU_void--car-mount',b'IoU_void--ego-vehicle'
192555,lambert,0.1942 (1),0.1771 (1),0.5112 (2),0.6776 (1),0.6749 (1),0.5932 (1),0.5622 (1),0.4378 (1),0.3237 (1),0.1643 (1),0.2280 (1),0.4112 (1),0.5529 (1),0.8906 (1),0.4216 (1),0.7376 (1),0.8102 (1),0.9015 (1),0.6225 (2),0.8130 (1),0.6898 (1),0.7488 (1),0.0005 (2),0.7093 (1),0.6363 (1),0.5762 (1),0.4467 (1),0.9783 (2),0.8423 (1),0.7404 (1),0.8969 (2),0.6017 (2),0.4431 (1),0.4694 (1),0.2148 (1),0.5312 (1),0.3990 (1),0.0157 (1),0.6366 (1),0.6114 (1),0.0750 (1),0.5701 (1),0.1398 (1),0.0021 (2),0.4995 (1),0.4466 (2),0.5721 (1),0.0000 (2),0.6866 (1),0.4386 (1),0.7325 (1),0.4728 (1),0.7370 (1),0.3892 (1),0.8717 (1),0.9303 (1),0.6936 (1),0.7406 (1),0.6540 (1),0.3142 (1),0.0684 (1),0.7752 (1),0.3475 (1),0.7241 (1),0.9349 (1),
181509,yajie,0.0000 (2),0.1146 (2),0.5570 (1),0.5971 (2),0.6043 (2),0.5268 (2),0.4878 (2),0.3482 (2),0.1541 (2),0.0973 (2),0.0996 (2),0.3393 (2),0.4019 (2),0.8634 (2),0.2506 (2),0.6626 (2),0.7023 (2),0.8770 (2),0.7730 (1),0.7826 (2),0.5648 (2),0.4820 (2),0.0068 (1),0.6370 (2),0.5479 (2),0.4978 (2),0.0147 (2),0.9814 (1),0.8227 (2),0.6673 (2),0.8978 (1),0.7901 (1),0.1051 (2),0.3040 (2),0.0840 (2),0.4602 (2),0.2887 (2),0.0004 (2),0.2127 (2),0.2008 (2),0.0511 (2),0.4092 (2),0.0066 (2),0.0443 (1),0.3933 (2),0.4895 (1),0.5143 (2),0.4608 (1),0.6409 (2),0.3668 (2),0.7151 (2),0.4576 (2),0.5918 (2),0.1744 (2),0.7737 (2),0.9105 (2),0.6203 (2),0.5727 (2),0.5502 (2),0.2210 (2),0.0105 (2),0.6866 (2),0.2024 (2),0.7163 (2),0.6991 (2),
