submission_pk,User,b'Average ALC',b'Average Final Score'
149259,jmhansel,0.49 (1),0.54 (1),
148695,dragon_bra,0.49 (1),0.52 (2),
148842,diaprofesser,0.45 (2),0.50 (3),
148097,pascaru,0.45 (2),0.48 (5),
132639,carml,0.44 (3),0.50 (3),
154231,hungnm,0.42 (4),0.47 (6),
138529,Luismacr,0.42 (4),0.48 (5),
147712,mparviz,0.40 (5),0.49 (4),
135160,abracadabra,0.40 (5),0.49 (4),
118503,viviimoo,0.33 (6),0.35 (7),
