submission_pk,User,b'Macro-F1'
180464,dma,0.7705 (1),
180284,zackchen,0.7487 (2),
180470,macd,0.7474 (3),
199696,mirzaei,0.7456 (4),
180477,dmi,0.7337 (5),
181803,wangkangxu,0.7308 (6),
179486,vol,0.7254 (7),
180297,lisatukhtina,0.7009 (8),
173704,Chenyang_Lyu,0.6114 (9),
181105,pgatti,0.5938 (10),
180719,PaulTrust,0.5538 (11),
180783,eternalfeather,0.4854 (12),
180711,virk,0.4584 (13),
180973,yashamz,0.3631 (14),
180521,subhamkumar,0.2852 (15),
180517,mahhars,0.2852 (15),
229870,compyle2k1,0.2736 (16),
181013,nst,0.2369 (17),
181039,daminglu123,0.0000 (18),
180508,srijaanand,0.0000 (18),
