submission_pk,User,b'EXTRAP.',b'INTERP.',b'SHAPE',b'ARTIC.',b'VIEWP.'
370976,tekicho,13.18 (1),3.52 (1),9.94 (1),4.05 (1),7.22 (1),
280774,hpoes,20.55 (4),4.85 (2),15.10 (4),4.98 (2),10.04 (3),
469300,zhoujun-7,13.21 (2),6.15 (3),10.09 (2),6.24 (3),8.93 (2),
471179,jxxx,15.97 (3),7.61 (4),13.08 (3),6.65 (4),13.36 (4),
