submission_pk,User,b'MPJPE',b'PAMPJPE',b'V2V',b'PAV2V'
191304,nmonet,82.3032 (1),55.1292 (2),92.9391 (1),62.9764 (1),
197388,MatthewWong_NJU,84.2754 (2),54.8363 (1),98.6953 (3),64.2381 (2),
191422,DangBowen,87.8209 (3),58.0566 (3),98.3177 (2),65.8668 (3),
197030,batofgo,91.5493 (4),60.3502 (4),104.1772 (4),69.5439 (4),
168240,sanweiliti,182.8005 (5),116.6262 (5),187.3355 (5),123.6787 (5),
