submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
371248,shrutiphutke,19.71 (20),0.63 (16),-1.00 (1),-1.00 (3),-1.00 (1),
363937,fvasluianu,15.03 (37),0.47 (37),-1.00 (1),-1.00 (3),-1.00 (1),
372688,leeyeoreum01,21.02 (13),0.66 (11),4.01 (19),0.00 (2),0.00 (2),
372678,Una,21.25 (9),0.67 (9),4.01 (19),0.00 (2),0.00 (2),
372646,amaguri,18.08 (31),0.53 (34),1.01 (11),0.00 (2),0.00 (2),
372643,Yuki-11,18.08 (31),0.53 (34),1.01 (11),0.00 (2),0.00 (2),
372576,try22,18.87 (28),0.56 (29),0.04 (4),0.00 (2),0.00 (2),
372561,leaves,21.68 (6),0.69 (3),5.20 (21),0.00 (2),0.00 (2),
372562,duchongyang,19.14 (27),0.60 (23),-1.00 (1),0.00 (2),0.00 (2),
372539,BowenZhao,20.73 (15),0.62 (19),0.04 (4),0.00 (2),0.00 (2),
372508,user118,20.40 (18),0.62 (21),0.04 (4),0.00 (2),0.00 (2),
372357,zjuShen,17.83 (32),0.53 (33),1.00 (10),0.00 (2),0.00 (2),
372316,daylight,21.70 (4),0.69 (6),60.00 (25),0.00 (2),0.00 (2),
372174,nbyqh,17.78 (33),0.55 (31),1.95 (15),0.00 (2),0.00 (2),
372117,thea,20.75 (14),0.65 (14),0.00 (2),0.00 (2),0.00 (2),
372078,cuishuhao,22.36 (1),0.70 (2),1.80 (13),0.00 (2),0.00 (2),
371993,codalab123,21.69 (5),0.69 (5),0.11 (5),0.00 (2),0.00 (2),
371839,jane_j,19.82 (19),0.64 (15),1.00 (10),0.00 (2),0.00 (2),
371528,Goring,11.83 (39),0.37 (39),0.13 (6),0.00 (2),0.00 (2),
371474,WangtaekOh,21.08 (12),0.66 (10),4.02 (20),0.00 (2),0.00 (2),
371486,nann,19.18 (25),0.59 (27),1.00 (10),0.00 (2),0.00 (2),
371440,HuanZheng,21.43 (8),0.68 (8),0.25 (8),0.00 (2),0.00 (2),
371414,chong40,20.68 (16),0.62 (20),1.00 (10),0.00 (2),0.00 (2),
371236,to42,19.55 (23),0.61 (22),1.00 (10),0.00 (2),0.00 (2),
371225,Jaszheng,19.14 (26),0.60 (25),1.00 (10),0.00 (2),0.00 (2),
370918,CD_luo,17.36 (36),0.53 (35),1800.00 (27),0.00 (2),0.00 (2),
370687,Rebecca,21.58 (7),0.68 (7),2.49 (16),0.00 (2),0.00 (2),
370364,xyz123,22.20 (2),0.69 (4),136.00 (26),0.00 (2),0.00 (2),
370260,SabariNathan,20.56 (17),0.63 (18),12.43 (23),1.00 (1),0.00 (2),
369733,Concentration7,17.57 (35),0.55 (32),1.00 (10),0.00 (2),0.00 (2),
369560,Concentration,19.23 (24),0.60 (24),3.03 (17),0.00 (2),0.00 (2),
369243,Concentrate-Silence,18.73 (29),0.56 (30),1.00 (10),0.00 (2),0.00 (2),
367961,Krocy,21.24 (10),0.66 (12),0.22 (7),0.00 (2),0.00 (2),
365639,tiger,21.13 (11),0.65 (13),1.60 (12),0.00 (2),0.00 (2),
371856,zwl,13.38 (38),0.45 (38),3.40 (18),0.00 (2),1.00 (3),
371437,jiangchengzhi,17.74 (34),0.50 (36),10.43 (22),1.00 (1),1.00 (3),
371168,ir-sde,19.60 (22),0.58 (28),35.00 (24),0.00 (2),1.00 (3),
369918,some,18.58 (30),0.59 (26),0.90 (9),1.00 (1),1.00 (3),
369429,priyakansal,19.67 (21),0.63 (17),0.00 (3),0.00 (2),1.00 (3),
365144,mrchang87,21.79 (3),0.70 (1),1.81 (14),0.00 (2),1.00 (3),
