submission_pk,User,b'Average Accuracy (\xe2\x86\x91)',b'CIFAR-10 Acc. (\xe2\x86\x91)',b'CIFAR-100 Acc. (\xe2\x86\x91)',b'GTSRB Acc. (\xe2\x86\x91)',b'MNIST Acc. (\xe2\x86\x91)'
202828,tianjian10,98.2 (1),99.2 (1),96.0 (3),98.4 (1),99.2 (2),
197679,nikita.benkovich,98.0 (2),98.4 (2),97.6 (1),96.0 (3),100.0 (1),
181698,easytrojansniper,97.2 (3),98.4 (2),96.8 (2),96.8 (2),96.8 (3),
186835,mooncaptain,91.4 (4),91.2 (3),92.8 (4),91.2 (4),90.4 (4),
179564,dongyuanjushi,78.4 (5),80.0 (4),72.8 (5),81.6 (5),79.2 (5),
210911,Zhonghua,64.0 (6),60.0 (5),37.6 (6),80.8 (6),77.6 (6),
193292,SYL,50.8 (7),44.8 (7),0.0 (8),80.8 (6),77.6 (6),
157954,MNTD_baseline,26.8 (8),56.8 (6),3.2 (7),8.0 (7),39.2 (7),
187112,r_s,21.4 (9),6.4 (8),0.0 (8),1.6 (8),77.6 (6),
