submission_pk,User,b'Prediction score',b'Duration'
411536,moranoroman,0.6960 (1),- (-),
410407,carfer,0.6847 (2),- (-),
412579,ErikaRivadeneira,0.6834 (3),- (-),
412261,bayesiano98,0.6812 (4),- (-),
409597,Cordyceps,0.6793 (5),- (-),
410072,Mesay,0.6733 (6),- (-),
407452,homomex23,0.6703 (7),- (-),
410711,JoseAGD,0.6687 (8),- (-),
412414,cesar_m,0.6550 (9),- (-),
406944,pakapro,- (10),- (-),
