submission_pk,User,b'SCORE'
26884,baochenchen,0.055 (1),
20323,gump77,0.062 (2),
20962,MingCheng,0.074 (3),
24025,harasuki,0.096 (4),
20823,xianyi,0.114 (5),
18734,zhangao1998,0.115 (6),
17564,Levoice11,0.120 (7),
26910,KeAi2,0.147 (8),
14351,Tangyue,0.149 (9),
12852,misp2021task1,0.259 (10),
