submission_pk,User,b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'ROUGE_L',b'CIDEr',b'METEOR',b'spice'
421077,jinx,56.0839 (3),46.5881 (2),40.0586 (2),35.1730 (2),55.5685 (2),325.7216 (1),29.1455 (2),44.4351 (2),
421083,stack-top,58.0129 (1),47.8769 (1),40.9018 (1),35.7796 (1),56.3780 (1),324.9277 (2),30.0329 (1),45.5456 (1),
421073,PEJI,56.4908 (2),46.5371 (3),39.6859 (3),34.5996 (3),54.9832 (3),316.2290 (3),28.9407 (3),43.8281 (3),
421069,calisolo,55.7849 (4),45.4753 (4),38.4468 (4),33.1970 (4),52.9229 (4),287.6926 (4),27.9402 (4),41.3584 (4),
420113,img_capt,53.6418 (7),42.8248 (7),35.6963 (6),30.5766 (5),51.6134 (7),278.1607 (5),27.0087 (7),40.9747 (6),
420748,kyominhwang,54.1975 (6),43.0211 (6),35.4753 (7),30.0185 (7),52.3251 (5),274.6941 (6),27.3464 (5),41.0430 (5),
418676,Mtop,54.4547 (5),43.3951 (5),35.8492 (5),30.2877 (6),52.1572 (6),270.5980 (7),27.2156 (6),40.7732 (7),
398681,Yongsik,51.3670 (8),40.2552 (8),32.7835 (8),27.4779 (8),50.5170 (8),255.9013 (8),26.1637 (8),39.4600 (8),
395759,TXHmercury,50.7199 (10),39.0901 (11),31.1348 (12),25.3470 (13),50.0612 (9),239.0106 (9),25.3394 (9),38.5370 (9),
400478,zero_score,50.1327 (12),39.4831 (9),32.4496 (9),27.4089 (9),48.0671 (12),238.3091 (10),24.8445 (12),37.0757 (10),
418472,sungbin.son,48.2634 (14),37.8367 (13),31.0821 (13),26.3040 (10),46.5434 (14),229.5613 (11),23.8719 (15),35.3885 (14),
408837,ss501,50.4477 (11),38.8727 (12),31.1372 (11),25.6216 (12),48.1135 (11),228.8920 (12),24.7030 (13),36.5725 (12),
420358,danielchoi,50.7946 (9),39.1847 (10),31.4011 (10),25.8194 (11),48.1828 (10),226.1749 (13),24.8638 (11),36.8950 (11),
399010,Hi1988,48.9767 (13),37.1830 (14),29.2179 (14),23.4479 (14),47.8742 (13),217.7578 (14),24.0982 (14),36.4749 (13),
419155,BraveGirls,46.4913 (15),34.2065 (15),25.9219 (15),19.9941 (15),46.1757 (15),180.6635 (15),24.9094 (10),33.2203 (15),
416408,mobled37,39.8284 (16),27.7706 (16),20.0732 (16),14.7538 (16),39.5366 (16),134.2035 (16),18.9348 (16),27.7624 (16),
409998,rjsdn,35.2991 (17),23.4908 (17),15.9875 (17),10.9201 (17),37.0862 (17),113.8025 (17),16.9700 (17),25.3106 (17),
417485,snow0,31.7156 (20),19.2009 (19),12.2571 (18),7.9731 (18),31.8328 (18),92.8288 (18),14.5823 (19),22.6518 (18),
399028,soeun,27.3832 (25),16.1707 (23),10.1247 (22),6.4948 (21),29.3049 (21),78.9487 (19),12.9487 (22),20.3599 (21),
420738,do0ori,32.1687 (19),18.3737 (20),11.0992 (20),6.8483 (20),30.1717 (20),77.8300 (20),13.9382 (20),20.6390 (20),
412733,zhengmaozong,33.7145 (18),19.5054 (18),11.7051 (19),7.0696 (19),30.5224 (19),75.3119 (21),15.0924 (18),20.8646 (19),
393404,yongsu23,26.9424 (27),15.3106 (25),9.3395 (24),5.8594 (23),28.2218 (22),73.1277 (22),12.2745 (24),19.4324 (22),
420701,challang,30.8059 (21),17.0075 (22),9.8781 (23),5.8459 (24),27.7463 (23),65.9372 (23),13.0716 (21),18.9231 (23),
405744,k1101jh,24.3603 (29),13.4100 (28),8.0403 (28),5.0202 (27),26.3008 (27),65.7418 (24),11.2266 (28),17.6973 (24),
408429,gamy,28.6025 (23),15.3838 (24),9.0163 (25),5.4843 (25),26.9439 (25),64.0570 (25),12.0974 (25),17.6462 (25),
399952,alsaco,27.0615 (26),14.4850 (27),8.4428 (26),5.1177 (26),26.6241 (26),64.0352 (26),11.2880 (27),17.0905 (26),
399801,Yebin46,30.3189 (22),17.4146 (21),10.5292 (21),6.3576 (22),27.6034 (24),59.7099 (27),12.5039 (23),16.5475 (27),
397560,Rainy21,27.4143 (24),14.6171 (26),8.3537 (27),4.9207 (28),23.6640 (28),49.8930 (28),11.7443 (26),15.9822 (28),
420967,Runbor,25.0107 (28),11.8485 (29),6.0223 (29),3.1465 (29),21.7858 (29),32.5173 (29),9.5540 (29),11.5799 (29),
386556,Merander,22.4721 (30),9.8276 (30),4.7389 (30),2.3512 (30),20.1784 (30),26.2615 (30),8.3881 (30),10.4668 (30),
400048,kathmanducow,15.9741 (31),6.4685 (31),2.6371 (31),1.1054 (31),14.4777 (31),10.2777 (31),5.7737 (31),4.1072 (31),
