submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
166982,fanzhihao,23.66 (12),0.84 (14),-1.00 (1),-1.00 (1),-1.00 (1),
159575,mialgo_ls,24.51 (4),0.86 (4),-1.00 (1),-1.00 (1),-1.00 (1),
167073,Jaszheng,24.13 (8),0.85 (8),10.00 (11),0.00 (2),0.00 (2),
165921,dongdongdong,24.48 (5),0.88 (3),0.09 (7),0.00 (2),0.00 (2),
165757,nex,24.57 (3),0.85 (10),0.01 (5),0.00 (2),0.00 (2),
160024,Zevin,24.81 (2),0.88 (1),0.00 (4),0.00 (2),0.00 (2),
159878,Azura,24.82 (1),0.88 (2),0.49 (9),1.00 (3),0.00 (2),
159673,Minhyeok,24.29 (7),0.86 (5),0.02 (6),0.00 (2),0.00 (2),
159536,lillythecutie,23.97 (9),0.84 (12),0.00 (2),1.00 (3),0.00 (2),
159276,ISP,24.46 (6),0.86 (6),0.02 (6),0.00 (2),0.00 (2),
158231,SeunggyuLee,23.59 (13),0.85 (9),0.20 (8),1.00 (3),0.00 (2),
158218,Signal,23.04 (16),0.82 (16),0.20 (8),1.00 (3),0.00 (2),
158208,Juan,23.74 (11),0.83 (15),0.00 (3),0.00 (2),0.00 (2),
157613,zheng222,23.18 (14),0.84 (11),10.00 (11),0.00 (2),0.00 (2),
156985,terra,23.76 (10),0.84 (13),0.00 (2),0.00 (2),0.00 (2),
166046,gosha20777,23.16 (15),0.85 (7),1.20 (10),1.00 (3),1.00 (3),
