submission_pk,User,b'F1 Score',b'Precision',b'Recall'
102452,dexiang,0.82 (1),0.84 (1),0.80 (3),
102446,RandomGuess,0.81 (2),0.79 (2),0.83 (2),
111242,leiwx52,0.77 (3),0.69 (3),0.87 (1),
111188,wasun,0.62 (4),0.62 (4),0.62 (5),
94545,sqiangcao,0.56 (5),0.49 (6),0.66 (4),
446486,pakapro,0.43 (6),0.50 (5),0.38 (6),
