submission_pk,User,b'HOTA',b'AssA',b'DetA',b'MOTA',b'IDF1',b'IDs',b'Frag'
159419,xiaochangcheng,67.448 (1),54.008 (1),84.342 (1),92.947 (2),66.929 (1),2180.0 (1),3562.0 (2),
153693,hsiangwei0903,59.761 (2),46.608 (2),76.721 (5),93.795 (1),64.849 (2),2370.0 (2),2833.0 (1),
144181,BOE_AIoT_CTO,58.825 (3),44.337 (6),78.301 (2),88.296 (4),56.633 (7),4689.0 (6),4950.0 (3),
133658,XiaoyuZhao,58.773 (4),45.321 (3),76.493 (6),88.900 (3),59.867 (4),3277.0 (4),7559.0 (6),
132779,BryantGao,58.614 (5),45.189 (4),76.224 (7),86.566 (8),59.860 (5),3454.0 (5),9094.0 (8),
165156,PingPingPangPangBangBangBang,58.544 (6),44.485 (5),77.250 (3),88.120 (5),61.687 (3),13871.0 (8),8750.0 (7),
147059,pengyuzhou,58.043 (7),43.791 (7),77.191 (4),86.677 (7),55.945 (8),4800.0 (7),4982.0 (4),
163945,mod1998,56.966 (8),43.073 (8),75.555 (8),87.520 (6),58.465 (6),3138.0 (3),6787.0 (5),
