submission_pk,User,b'Final Score',b'LPIPS',b'FVD',b'L2',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
351762,USTC-IAT-United,0.09 (1),0.25 (1),0.02 (1),0.01 (2),0.00 (1),0.00 (1),
349098,pokemon,0.14 (2),0.35 (3),0.04 (3),0.01 (5),-1.00 (2),-1.00 (2),
352120,wangzhiyu918,0.14 (3),0.38 (4),0.02 (2),0.01 (3),0.00 (1),0.00 (1),
347289,ngthien,0.18 (4),0.43 (5),0.10 (4),0.01 (4),0.00 (1),0.00 (1),
349131,Wizard001,0.26 (5),0.50 (7),0.27 (5),0.02 (7),-1.00 (2),-1.00 (2),
350923,hanhai,0.30 (6),0.30 (2),0.59 (8),0.01 (1),0.00 (1),0.00 (1),
347896,u7355608,0.33 (7),0.54 (8),0.43 (6),0.02 (8),-1.00 (2),-1.00 (2),
352155,jsyoon,0.33 (8),0.46 (6),0.53 (7),0.01 (6),0.00 (1),0.00 (1),
