submission_pk,User,b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S',b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L'
116914,SakuraT,0.534 (1),0.596 (1),0.807 (1),0.652 (1),0.481 (1),0.665 (1),0.472 (1),0.675 (2),0.486 (1),0.372 (2),0.609 (1),
120272,peiyunc1989,0.509 (2),0.571 (3),0.796 (2),0.617 (4),0.468 (3),0.617 (2),0.448 (2),0.705 (1),0.437 (6),0.327 (10),0.502 (2),
120015,mahogany,0.507 (3),0.571 (2),0.775 (4),0.617 (3),0.468 (4),0.614 (5),0.442 (3),0.636 (7),0.461 (4),0.387 (1),0.489 (4),
119789,tianxingye,0.488 (4),0.552 (5),0.752 (8),0.618 (2),0.466 (5),0.610 (7),0.425 (5),0.634 (8),0.479 (2),0.350 (7),0.481 (6),
120150,Ach,0.481 (5),0.543 (7),0.770 (6),0.573 (11),0.457 (7),0.615 (4),0.419 (6),0.653 (4),0.412 (9),0.369 (3),0.472 (8),
117843,zhangtao-whu,0.480 (6),0.530 (10),0.736 (11),0.590 (8),0.454 (10),0.584 (10),0.431 (4),0.671 (3),0.466 (3),0.360 (5),0.482 (5),
117574,JZ,0.480 (7),0.543 (8),0.770 (5),0.571 (12),0.460 (6),0.615 (3),0.417 (7),0.647 (5),0.416 (8),0.368 (4),0.473 (7),
117486,M2F,0.471 (8),0.531 (9),0.735 (12),0.592 (7),0.453 (12),0.584 (11),0.412 (8),0.633 (9),0.438 (5),0.339 (8),0.454 (10),
120224,anwesac2,0.466 (9),0.529 (12),0.747 (9),0.580 (10),0.450 (13),0.607 (8),0.402 (10),0.614 (10),0.436 (7),0.333 (9),0.490 (3),
119195,justin-zk,0.465 (10),0.528 (13),0.757 (7),0.568 (13),0.456 (8),0.593 (9),0.403 (9),0.641 (6),0.400 (11),0.358 (6),0.454 (9),
116575,assassin567,0.464 (11),0.546 (6),0.713 (13),0.595 (6),0.453 (11),0.583 (12),0.383 (11),0.534 (12),0.405 (10),0.317 (12),0.443 (11),
116699,TransF,0.447 (12),0.529 (11),0.738 (10),0.589 (9),0.455 (9),0.583 (13),0.366 (12),0.601 (11),0.368 (12),0.322 (11),0.407 (12),
120270,visioneve,0.282 (13),0.564 (4),0.787 (3),0.603 (5),0.472 (2),0.610 (6),0.000 (14),0.000 (14),0.000 (14),0.000 (14),0.000 (14),
109861,yfan,0.242 (14),0.268 (14),0.460 (14),0.271 (14),0.277 (14),0.354 (14),0.216 (13),0.428 (13),0.187 (13),0.203 (13),0.290 (13),
115856,ID4,0.000 (15),0.000 (15),0.000 (15),0.000 (15),0.000 (15),0.000 (15),0.000 (14),0.000 (14),0.000 (14),0.000 (14),0.000 (14),
