submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160053,jklovezhang,30.22 (7),0.86 (7),-1.00 (1),-1.00 (1),-1.00 (1),
159657,stevek,30.08 (21),0.85 (29),10.43 (5),-1.00 (1),-1.00 (1),
159266,HojinCho,30.12 (17),0.86 (23),10.43 (5),-1.00 (1),-1.00 (1),
159001,smhong,29.95 (32),0.85 (31),-1.00 (1),-1.00 (1),-1.00 (1),
158553,rtsisr,30.15 (13),0.86 (12),-1.00 (1),-1.00 (1),-1.00 (1),
157792,JiNiTaiMei,30.15 (13),0.86 (12),-1.00 (1),-1.00 (1),-1.00 (1),
156059,yangyuqiang.bd,30.15 (13),0.86 (12),-1.00 (1),-1.00 (1),-1.00 (1),
160099,CCjiahao,30.00 (30),0.85 (26),10.43 (5),1.00 (3),0.00 (2),
160097,work_mai,30.16 (11),0.86 (17),10.43 (5),1.00 (3),0.00 (2),
160055,Larry,30.06 (22),0.86 (22),10.43 (5),1.00 (3),0.00 (2),
160039,tclhc,30.33 (3),0.86 (3),10.43 (5),0.00 (2),0.00 (2),
160010,Layer,30.09 (20),0.86 (20),10.43 (5),1.00 (3),0.00 (2),
159959,kia350,30.77 (1),0.87 (1),10.43 (5),1.00 (3),0.00 (2),
159939,kkkls,30.09 (20),0.86 (20),10.43 (5),1.00 (3),0.00 (2),
159898,balabala,30.21 (8),0.86 (4),0.43 (4),0.00 (2),0.00 (2),
159728,pcy,30.16 (10),0.86 (9),10.43 (5),1.00 (3),0.00 (2),
159678,yl12345,30.06 (23),0.85 (28),0.43 (4),0.00 (2),0.00 (2),
159615,kkk,30.77 (1),0.87 (1),10.43 (5),1.00 (3),0.00 (2),
159604,mrblue,30.33 (3),0.86 (3),10.43 (5),0.00 (2),0.00 (2),
159431,xxyyzz123,30.15 (12),0.86 (10),10.43 (5),1.00 (3),0.00 (2),
159240,kingjames,30.16 (10),0.86 (9),10.43 (5),1.00 (3),0.00 (2),
159233,jetbrian,30.16 (10),0.86 (9),10.43 (5),1.00 (3),0.00 (2),
159151,zjw,30.13 (16),0.86 (15),0.25 (2),0.00 (2),0.00 (2),
159075,chefcurry,30.11 (19),0.86 (19),10.43 (5),1.00 (3),0.00 (2),
159071,gigi,30.11 (19),0.86 (19),10.43 (5),1.00 (3),0.00 (2),
158578,garasgaras,30.27 (5),0.86 (5),10.43 (5),1.00 (3),0.00 (2),
158090,yc,30.11 (19),0.86 (19),10.43 (5),1.00 (3),0.00 (2),
157101,zach0231,30.11 (19),0.86 (19),10.43 (5),1.00 (3),0.00 (2),
156671,sissie,29.95 (31),0.85 (34),10.43 (5),1.00 (3),0.00 (2),
155225,zion_,30.40 (2),0.86 (2),10.43 (5),1.00 (3),0.00 (2),
154367,j_npu,30.03 (27),0.86 (16),20.43 (6),1.00 (3),0.00 (2),
150966,oasis,30.29 (4),0.86 (6),10.43 (5),1.00 (3),0.00 (2),
146386,stu_tools,29.35 (35),0.84 (35),0.43 (4),0.00 (2),0.00 (2),
136820,lchia,30.04 (26),0.85 (27),10.43 (5),1.00 (3),0.00 (2),
168019,biuping,30.04 (25),0.86 (24),0.35 (3),1.00 (3),1.00 (3),
167023,lishen,29.75 (33),0.85 (32),10.43 (5),1.00 (3),1.00 (3),
166999,lvseng.zf,29.73 (34),0.85 (33),10.43 (5),1.00 (3),1.00 (3),
166996,yugaocheng.ls,17.08 (40),0.73 (39),10.43 (5),1.00 (3),1.00 (3),
160029,NBCS,28.25 (36),0.81 (36),10.43 (5),1.00 (3),1.00 (3),
160001,ganzoo,30.01 (28),0.86 (25),10.43 (5),1.00 (3),1.00 (3),
159987,ykh1123,30.05 (24),0.86 (21),10.43 (5),1.00 (3),1.00 (3),
159913,Sail,30.22 (6),0.86 (8),10.43 (5),1.00 (3),1.00 (3),
159900,sukhee4394,30.17 (9),0.86 (18),10.43 (5),1.00 (3),1.00 (3),
159731,xiaokaoji,27.67 (37),0.80 (37),10.43 (5),1.00 (3),1.00 (3),
159641,Huaen,30.14 (14),0.86 (13),10.43 (5),1.00 (3),1.00 (3),
158970,nickpower,30.01 (29),0.85 (30),10.43 (5),1.00 (3),1.00 (3),
158969,jozek_ma_os,30.01 (29),0.85 (30),10.43 (5),1.00 (3),1.00 (3),
158787,ygcheng,26.67 (38),0.78 (38),10.43 (5),1.00 (3),1.00 (3),
157036,monk,18.17 (39),0.71 (40),10.43 (5),1.00 (3),1.00 (3),
156288,maciejos_s,30.01 (29),0.85 (30),10.43 (5),1.00 (3),1.00 (3),
144630,sr_enhance,30.14 (15),0.86 (14),10.43 (5),1.00 (3),1.00 (3),
142162,b-eyes,30.12 (18),0.86 (11),10.43 (5),1.00 (3),1.00 (3),
