submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
72987,YUNR,28.1704 (1),0.8021 (1),-1.00 (1),-1.00 (3),-1.00 (3),
73249,lubovbyc,28.1095 (2),0.8004 (4),0.00 (2),0.00 (2),0.00 (2),
71787,ax,28.1020 (3),0.8005 (3),0.00 (2),1.00 (1),1.00 (1),
64531,tszs,28.0822 (4),0.8008 (2),-1.00 (1),-1.00 (3),-1.00 (3),
69889,GallopingSnail,27.9518 (5),0.7978 (5),0.00 (2),1.00 (1),0.00 (2),
72559,tryagain,27.9413 (6),0.7975 (6),0.00 (2),1.00 (1),0.00 (2),
72801,nagejacob,27.9333 (7),0.7972 (7),-1.00 (1),-1.00 (3),-1.00 (3),
71153,hasaki,27.9196 (8),0.7963 (8),-1.00 (1),0.00 (2),-1.00 (3),
68156,Spider-Man,27.8415 (9),0.7949 (11),0.00 (2),1.00 (1),0.00 (2),
60394,wg234567p,27.8299 (10),0.7953 (9),0.00 (2),1.00 (1),0.00 (2),
59763,sr_enhance,27.8243 (11),0.7952 (10),0.00 (2),1.00 (1),0.00 (2),
68714,zhangzhilu,27.8240 (12),0.7941 (12),-1.00 (1),-1.00 (3),-1.00 (3),
59435,Accusefive,27.7348 (13),0.7916 (13),-1.00 (1),0.00 (2),-1.00 (3),
72795,xzhuai,27.6248 (14),0.7896 (16),1.50 (10),0.00 (2),0.00 (2),
50881,AvengersAssemble,27.6151 (15),0.7896 (14),-1.00 (1),0.00 (2),-1.00 (3),
71851,xiazhenyz,27.5998 (16),0.7896 (15),1.50 (10),0.00 (2),0.00 (2),
69837,Steven,27.5503 (17),0.7861 (19),10.00 (12),1.00 (1),0.00 (2),
70159,lixin41,27.4809 (18),0.7865 (17),0.00 (2),1.00 (1),0.00 (2),
71272,wangqian,27.4515 (19),0.7848 (20),0.00 (2),0.00 (2),0.00 (2),
69372,hyang,27.3973 (20),0.7861 (18),-1.00 (1),-1.00 (3),-1.00 (3),
59441,ly113,27.3289 (21),0.7832 (21),1.00 (9),0.00 (2),0.00 (2),
64258,Mrobot,27.3253 (22),0.7826 (22),0.00 (2),0.00 (2),0.00 (2),
72618,liuxin2,27.3051 (23),0.7812 (24),-1.00 (1),-1.00 (3),-1.00 (3),
52570,chenmigongzuo,27.2872 (24),0.7824 (23),1.00 (9),0.00 (2),0.00 (2),
59639,sunshinedada,27.2675 (25),0.7806 (25),-1.00 (1),-1.00 (3),-1.00 (3),
57153,lchia,27.2375 (26),0.7800 (26),10.43 (13),0.00 (2),0.00 (2),
54098,superSR,27.1656 (27),0.7780 (28),0.00 (2),0.00 (2),0.00 (2),
53659,chenhao,27.1584 (28),0.7779 (29),0.00 (2),1.00 (1),0.00 (2),
51956,FuHailing,27.1448 (29),0.7780 (27),0.00 (2),1.00 (1),0.00 (2),
56681,pavelost,27.1115 (30),0.7768 (31),0.00 (2),1.00 (1),0.00 (2),
44306,PixelBE,27.1051 (31),0.7768 (30),1.00 (9),0.00 (2),0.00 (2),
68115,lillythecutie,27.0825 (32),0.7765 (32),1.90 (11),0.00 (2),0.00 (2),
53447,Hwayne,26.9876 (33),0.7730 (33),1.00 (9),1.00 (1),0.00 (2),
58380,jkpark,26.6916 (34),0.7680 (34),10.43 (13),1.00 (1),1.00 (1),
69961,wenkai,26.5868 (35),0.7626 (36),0.16 (6),0.00 (2),0.00 (2),
48789,lastdancexi,26.5329 (36),0.7622 (37),0.00 (2),1.00 (1),0.00 (2),
47641,lingyi,26.5254 (37),0.7633 (35),0.04 (3),0.00 (2),0.00 (2),
56981,XiaofengPan,26.5166 (38),0.7605 (38),0.53 (8),0.00 (2),0.00 (2),
48160,LowChen,26.5120 (39),0.7598 (39),0.11 (5),0.00 (2),0.00 (2),
59287,Sunder_ali,26.2532 (40),0.7513 (40),0.40 (7),1.00 (1),0.00 (2),
54433,Larry,26.1486 (41),0.7506 (41),0.04 (4),0.00 (2),1.00 (1),
69835,RenYang,25.9824 (42),0.7374 (42),0.00 (2),1.00 (1),0.00 (2),
