submission_pk,User,b'mAP weighted',b'mAP',b'Jan',b'Mar',b'Apr',b'May',b'Jun',b'Jul',b'Aug',b'Sep'
144523,GroundTruth,0.323652 (1),0.3305 (1),0.3708 (3),0.3502 (4),0.3323 (1),0.2774 (3),0.2924 (1),0.2506 (1),0.3162 (1),0.4542 (3),
144333,heboyong,0.322642 (2),0.3301 (2),0.3691 (4),0.3548 (3),0.3279 (2),0.2827 (1),0.2856 (2),0.2435 (3),0.3112 (2),0.4662 (2),
144297,hby,0.321837 (3),0.3296 (3),0.3722 (2),0.3556 (2),0.3256 (3),0.2806 (2),0.2818 (3),0.2432 (4),0.3067 (3),0.4714 (1),
143399,PZH,0.308742 (4),0.3156 (4),0.3999 (1),0.3588 (1),0.3212 (4),0.2596 (5),0.2744 (4),0.2502 (2),0.3013 (4),0.3592 (7),
142644,BDD,0.300741 (5),0.3072 (5),0.3557 (5),0.3367 (6),0.3141 (5),0.2562 (6),0.2735 (5),0.2338 (5),0.2936 (5),0.3942 (4),
144252,theshy,0.280449 (6),0.2878 (6),0.3420 (6),0.3402 (5),0.3002 (6),0.2434 (10),0.2434 (13),0.2182 (7),0.2598 (9),0.3550 (8),
142245,wyndy,0.270599 (7),0.2770 (7),0.3240 (8),0.3092 (9),0.2828 (16),0.2286 (14),0.2456 (12),0.2045 (13),0.2620 (7),0.3592 (6),
144098,DanDan,0.267009 (8),0.2745 (8),0.3201 (9),0.3220 (7),0.2843 (13),0.2277 (15),0.2298 (17),0.2050 (12),0.2409 (18),0.3663 (5),
142296,newboy,0.261950 (9),0.2685 (9),0.3317 (7),0.3128 (8),0.2853 (11),0.2251 (16),0.2434 (14),0.1976 (15),0.2454 (15),0.3071 (9),
142882,qiqi,0.251204 (10),0.2528 (12),0.2760 (19),0.2872 (17),0.2878 (9),0.2465 (9),0.2646 (6),0.2164 (8),0.2615 (8),0.1821 (17),
144519,BingDwenDwen,0.250816 (11),0.2553 (10),0.3126 (12),0.2995 (13),0.2837 (14),0.2714 (4),0.2372 (16),0.1951 (17),0.2425 (17),0.2002 (14),
144272,lyx,0.250225 (12),0.2516 (14),0.2931 (14),0.3007 (11),0.2978 (7),0.2556 (7),0.2631 (7),0.2190 (6),0.2641 (6),0.1190 (20),
142458,Charles,0.250204 (13),0.2527 (13),0.2791 (17),0.2921 (15),0.2901 (8),0.2532 (8),0.2529 (10),0.2096 (9),0.2534 (12),0.1912 (15),
143395,cthun,0.248146 (14),0.2532 (11),0.3151 (11),0.3032 (10),0.2836 (15),0.2213 (17),0.2391 (15),0.1971 (16),0.2380 (19),0.2283 (12),
144543,PPAA,0.245263 (15),0.2513 (15),0.3190 (10),0.3001 (12),0.2772 (18),0.2170 (18),0.2228 (19),0.1799 (18),0.2435 (16),0.2508 (10),
142465,mada,0.243103 (16),0.2453 (16),0.2790 (18),0.2903 (16),0.2809 (17),0.2369 (13),0.2527 (11),0.2035 (14),0.2521 (14),0.1671 (18),
141664,xa_ever,0.241852 (17),0.2432 (17),0.2827 (15),0.2928 (14),0.2852 (12),0.2420 (11),0.2581 (8),0.2069 (11),0.2585 (11),0.1196 (19),
143776,zx,0.237569 (18),0.2386 (18),0.2805 (16),0.2866 (18),0.2878 (10),0.2396 (12),0.2560 (9),0.2087 (10),0.2531 (13),0.0960 (22),
143394,relax,0.226650 (19),0.2303 (19),0.2519 (20),0.2718 (19),0.2607 (19),0.2082 (19),0.2235 (18),0.1740 (19),0.2312 (20),0.2214 (13),
141923,PingPingPangPangBangBangBang,0.205369 (20),0.2049 (20),0.1821 (21),0.1888 (21),0.2002 (21),0.1813 (20),0.2179 (20),0.1613 (20),0.2597 (10),0.2481 (11),
142135,juliojj,0.158521 (21),0.1669 (21),0.2960 (13),0.2554 (20),0.2014 (20),0.1228 (21),0.0982 (21),0.1043 (21),0.1454 (21),0.1118 (21),
143804,lwxnba,0.114190 (22),0.1194 (22),0.1565 (22),0.1500 (22),0.1284 (22),0.0759 (22),0.0877 (22),0.0754 (22),0.0963 (22),0.1849 (16),
