submission_pk,User,b'MAE score'
146824,TrueFit,0.5788 (1),
146799,harelr,0.5840 (2),
146804,lyzi,0.6163 (3),
146800,Ido_Ikar,0.6421 (4),
146810,sarg,0.6699 (5),
146823,Tortorelli,0.6789 (6),
146822,tomy4reel,0.6822 (7),
146816,Shivacodalab,0.6925 (8),
146826,Twix,0.6932 (9),
146805,NoamLhiyani,0.7035 (10),
146793,devnikhilmishra,0.7125 (11),
146797,ErezGilat21,0.7158 (12),
146820,Suman,0.7377 (13),
146809,ouranos,0.7377 (13),
146827,zahilaty,0.7403 (14),
146814,ShayTeam,0.7513 (15),
146796,eladcoh3,0.7578 (16),
146818,skaak,0.7733 (17),
146802,LevZ,1.1079 (18),
146812,schtefanos,1.3030 (19),
