submission_pk,User,b'ACER',b'APCER',b'BPCER'
382930,xuyaowen,1.6010 (1),1.2960 (2),1.9060 (1),
382890,hexianhua,2.2210 (2),1.3770 (3),3.0640 (3),
382824,buccellati,2.5540 (3),2.3390 (9),2.7690 (2),
375110,xmj,2.8940 (4),1.4440 (4),4.3450 (9),
382893,luoman,3.0700 (5),1.7450 (6),4.3950 (11),
381822,Sicks,3.1450 (6),1.7250 (5),4.5640 (13),
382566,KiwiTech_LeoDu,3.1800 (7),2.2060 (8),4.1540 (6),
382636,Iverson,3.1890 (8),3.2890 (23),3.0900 (4),
382538,admin123,3.5300 (9),2.7530 (14),4.3060 (8),
382857,iKun-CTRL,3.5430 (10),3.2420 (21),3.8440 (5),
382198,Disguiser15,3.5940 (11),2.0330 (7),5.1560 (16),
381940,Firework,3.9320 (12),3.2410 (20),4.6230 (14),
382201,Qiushi,3.9580 (13),3.6290 (26),4.2880 (7),
381670,ChenYifan,4.0010 (14),2.4740 (11),5.5290 (22),
382931,shenxiaohui,4.0390 (15),3.1810 (18),4.8960 (15),
382500,jack.lin,4.0920 (16),3.7020 (27),4.4820 (12),
381830,Try1Try,4.1790 (17),2.5040 (12),5.8550 (25),
379570,CTEL_AI,4.1800 (18),2.9710 (17),5.3890 (17),
380699,mouthhan,4.3300 (19),3.2420 (21),5.4190 (19),
381534,zjukongming,4.3770 (20),2.8580 (15),5.8960 (27),
381674,YJ922,4.5430 (21),3.3680 (24),5.7170 (24),
381268,ivlvi,4.5530 (22),3.4240 (25),5.6820 (23),
364042,DXAI,4.5670 (23),3.2420 (21),5.8930 (26),
382524,TopTop,4.6210 (24),4.8930 (40),4.3490 (10),
382872,Liuftvafas,4.7200 (25),2.6810 (13),6.7580 (35),
382922,AleksandrParkin,4.7290 (26),4.0530 (29),5.4060 (18),
369056,BokingChen,5.0880 (27),3.2610 (22),6.9150 (36),
382284,hanry.ham,5.1920 (28),2.9610 (16),7.4230 (40),
382179,liuchen.lc,5.2840 (29),4.1720 (30),6.3960 (34),
382468,Li_Lai,5.2860 (30),5.0890 (42),5.4830 (21),
382510,shf_deep,5.2870 (31),5.1340 (44),5.4400 (20),
380879,dianxin,5.3040 (32),4.4610 (33),6.1480 (29),
379276,wida,5.3110 (33),4.3230 (31),6.2980 (30),
380479,weitutu,5.4700 (34),4.6040 (38),6.3360 (32),
362492,gagarinsname,5.5820 (35),3.9420 (28),7.2220 (39),
380955,qowieu,5.6040 (36),4.8460 (39),6.3620 (33),
367673,liubanggui,5.7370 (37),5.5520 (49),5.9220 (28),
382591,fuhou,6.1430 (38),4.5350 (36),7.7510 (42),
382111,lshua,6.1530 (39),4.4810 (35),7.8260 (43),
379728,fruitai,6.1970 (40),4.5470 (37),7.8460 (44),
359939,zahar,6.2510 (41),1.2430 (1),11.2580 (57),
373245,linghu8812,6.2620 (42),3.2000 (19),9.3240 (52),
381520,cloudwalker,6.3230 (43),5.1330 (43),7.5120 (41),
381422,CLFM,6.4290 (44),6.5430 (53),6.3150 (31),
381237,HYL_Dave,6.4410 (45),5.8070 (51),7.0750 (38),
371206,mt403,6.4780 (46),5.0880 (41),7.8680 (45),
366342,liusong,6.6250 (47),5.2890 (47),7.9620 (46),
381274,dai.cao,6.6410 (48),5.1800 (45),8.1020 (47),
372958,quannxa_ftai,6.9410 (49),6.8100 (55),7.0710 (37),
366357,chenyouxin113,6.9760 (50),5.2740 (46),8.6770 (51),
380948,haoliuhust,7.0490 (51),5.5420 (48),8.5560 (50),
381361,Weiiiii,7.1970 (52),5.9550 (52),8.4380 (49),
381593,lluevano,7.2580 (53),4.4660 (34),10.0500 (53),
361854,zmxncb,7.6150 (54),6.7920 (54),8.4370 (48),
367819,CrayonShinCheng,8.4470 (55),5.6670 (50),11.2270 (56),
382491,yiyiyihahaha,9.0880 (56),7.5000 (56),10.6750 (55),
359983,hwscut,9.0880 (56),7.5000 (56),10.6750 (55),
361645,ekaterina_ovision,9.1900 (57),4.4420 (32),13.9370 (59),
372782,BeaneZ,9.3510 (58),8.2850 (57),10.4170 (54),
380427,Namtp.chocotiamo,12.3300 (59),10.0020 (58),14.6580 (60),
382864,eshalimova,12.5930 (60),13.8210 (60),11.3660 (58),
366638,chocotiamo,16.6050 (61),11.8750 (59),21.3340 (61),
380786,NingZi,49.3230 (62),14.4590 (61),84.1880 (63),
373170,irinazan,50.0220 (63),50.1070 (62),49.9370 (62),
376182,vuvko,51.0690 (64),2.3810 (10),99.7570 (65),
382926,liangdas,97.2610 (65),96.6050 (63),97.9170 (64),
